announce.msbt
AnnounceEmpty	目前暫無通知
BtlGuide_KeyGuideBar_RingOperation2	{size[4b00]}{[0300|00000000]} 切換轉動／滑動　 選擇圓環　 視角　 返回　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide	{size[4b00]}{[0300|00000000]} 操作圓環　 視角　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoSlide2	{size[4b00]}{[0300|00000000]} 操作圓環　 視角　 返回　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera	{size[4b00]}{[0300|00000000]} 切換轉動／滑動　 選擇圓環　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperation_NoCamera2	{size[4b00]}{[0300|00000000]} 切換轉動／滑動　 選擇圓環　 返回　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond	{size[4b00]}{[0300|00000000]} 操作圓環　 視角　 退出　 確定{size[6400]}
BtlGuide_KeyGuideBar_RingOperationSecond_NoCamera	{size[4b00]}{[0300|00000000]} 退出   確定{size[6400]}
BtlGuide_KeyGuideBar_Variable_Help	 說明　
BtlGuide_Skip	{size[4b00]} 跳過{size[6400]}
BtlCmdList_Enter	{size[3200]}{[0001|1200]}確定行動{[0001|ffff]}{size[6400]} 
BtlCmdList_Confirm	{size[3200]}{[0001|1200]}開始戰鬥{[0001|ffff]}{size[6400]} 
BtlCmdSwitch_L	{size[4b00]}{size[6400]}
BtlCmdSwitch_R	{size[4b00]}{size[6400]}
BtlCmdSwitch_Weapon	{size[3200]}{[0001|1200]}武器{[0001|ffff]}{size[6400]}
BtlCmdSwitch_Item	{size[3200]}{[0001|1200]}道具{[0001|ffff]}{size[6400]}
BtlCmdList_None	{[0001|0f00]}未持有{[0001|ffff]}
BtlCmdList_Equip	{size[4b00]} 裝備{size[6400]}
BtlResult_Title	{size[4100]}{[0001|1500]}戰鬥獎勵！{[0001|ffff]}{size[6400]}
BtlResult_Item01	{size[4b00]}過關獎勵{size[6400]}
BtlResult_Item02	{size[4b00]}完成拼板獎勵{size[6400]}
BtlResult_Item03	{size[4b00]}毫髮無傷獎勵{size[6400]}
BtlResult_Item04	{size[4b00]}以神祇之手結束戰鬥{size[6400]}
BtlResult_Item05	{size[4b00]}ＷＡＶＥ戰獎勵{size[6400]}
BtlResult_Item06	{size[4b00]}ＢＯＳＳ戰過關獎勵{size[6400]}
BtlResult_Item00	合計
BtlResult_ItemValue	{size[3c00]}{[0001|1200]}{[0300|00000000]}{[0001|ffff]}{size[6400]}
BtlEscape_Title	{size[4b00]}{[0001|1200]}逃跑{[0001|ffff]}{size[6400]}
BtlUI_BossHP	{size[4600]}{[0001|1400]}Boss HP{[0001|ffff]}{size[6400]}
BtlUI_QuizAnswer_A	{size[4b00]}{color[cf2c12ff]}{[0001|1400]}Ａ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_B	{size[4b00]}{color[0677ebff]}{[0001|1400]}Ｂ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_C	{size[4b00]}{color[2e7611ff]}{[0001|1400]}Ｃ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlUI_QuizAnswer_D	{size[4b00]}{color[d6b918ff]}{[0001|1400]}Ｄ{[0001|ffff]}{color[404040ff]}{size[6400]}
BtlCombo_02	{size[4100]}{[0001|1500]}{color[2e7611ff]}很好{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_03	{size[4100]}{[0001|1500]}{color[cf2c12ff]}漂亮{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCombo_04	{size[4100]}{[0001|1500]}{color[d55eccff]}棒極了{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlGuard_01	{size[4100]}{[0001|1500]}防禦{[0001|ffff]}{size[6400]}
BtlLabo_Mode_01	{color[00ff00ff]}{[0001|1200]}拼板訓練{[0001|ffff]}{color[404040ff]}
BtlLabo_Mode_02	{color[00ff00ff]}{[0001|1200]}限時訓練{[0001|ffff]}{color[404040ff]}
BtlLabo_PlayNum	{color[00ff00ff]}{[0001|1200]}第{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}題{[0001|ffff]}{color[404040ff]}
BtlSysMsg_AllMiss	攻擊落空了！
BtlSysMsg_AllFar	無法擊中敵人！
BtlSysMsg_Broken	已經被破壞了！
BtlSysMsg_NoMoveIce	結冰了，無法行動！
BtlSysMsg_NoMoveStan	頭暈目眩，無法行動！
BtlSysMsg_NoMoveCrucifixion	被釘住了，無法行動！
BtlSysMsg_NoMoveRubber	被橡皮筋綁住了，無法行動！
BtlSysMsg_NoMoveHole	掉到洞裡了，無法行動！
BtlSysMsg_NoMoveTurnOver	倒栽蔥了，無法行動！
BtlSysMsg_WeaponBreak	{color[cf2c12ff]}{[0300|00000000]}{color[404040ff]}壞掉了！
BtlSysMsg_WeaponBreakNoBoots	靴子壞掉了，無法使用！
BtlSysMsg_WeaponBreakNoHammer	鎚子壞掉了，無法使用！
BtlSysMsg_NoCoin	金幣不夠！
BtlSysMsg_NoMove_water	水神祇十分疲倦，無法行動！
BtlSysMsg_NoMove_ice	冰神祇感到頭暈目眩！
BtlSysMsg_NoMove_HPC	打孔機倒栽蔥了，無法行動！
BtlCaption_PlayerAttack	{color[ffffffff]}{[0001|1200]}瑪利歐的行動！{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicAttack	{color[ffffffff]}{[0001|1200]}瑪利歐的行動！{[0001|ffff]}{color[404040ff]}
BtlCaption_EnemyAttack	{color[ffffffff]}{[0001|1200]}敵人的行動！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRing	{color[eed538ff]}{[0001|1200]}排列敵人的位置吧！{[0001|ffff]}{color[404040ff]}
BtlCaption_MoveRingKinopio	{[0001|1200]}{color[ffffffff]}{color[00ff00ff]}排列{color[ffffffff]}奇諾比奧{color[404040ff]}{color[00ff00ff]}的位置吧！{color[404040ff]}{[0001|ffff]}
BtlCaption_Timeup	{color[eed538ff]}{[0001|1200]}時間到・・・・・・{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleFinish	{color[eed538ff]}{[0001|1200]}排列結束！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleUnused	{color[eed538ff]}{[0001|1200]}{color[ff2e11ff]}好機會！{color[eed538ff]}只剩一點點敵人了！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccess	{color[eed538ff]}{[0001|1200]}排列成功！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleGreatSuccess	{color[eed538ff]}{[0001|1200]}排列{color[ff2e11ff]}非常{color[eed538ff]}成功！！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleSuccessPowUp	{[0001|1200]}{color[e7e7e7ff]}攻擊力{color[404040ff]}{color[ff2e11ff]}上升！{color[404040ff]}{[0001|ffff]}
BtlCaption_PuzzleAttackSuccess	{color[00ff00ff]}{[0001|1200]}排列成功！{[0001|ffff]}{color[404040ff]}
BtlCaption_PuzzleAttackMiss	{color[00ff00ff]}{[0001|1200]}排列失敗！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPass	{color[00ff00ff]}{[0001|1200]}跳過！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizPuzzleAttack	{color[00ff00ff]}{[0001|1200]}拼板訓練{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeAttack	{color[00ff00ff]}{[0001|1200]}限時訓練{[0001|ffff]}{color[404040ff]}
BtlCaption_VSBattle	{color[00ff00ff]}{[0001|1200]}VS戰{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizQ1	{[0001|1200]}{color[00ff00ff]}第{color[ffffffff]}{[0300|00000000]}{color[00ff00ff]}題{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAnswerDisplay	{color[e7e7e7ff]}{[0001|1200]}正確答案是……？{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizGameOver	{[0001|1200]}{color[cf2c12ff]}遊戲結束{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizAllClear	{color[00ff00ff]}{[0001|1200]}全數答對！{[0001|ffff]}{color[404040ff]}
BtlCaption_QuizTimeup	{[0001|1200]}{color[00ff00ff]}時間到{color[404040ff]}{[0001|ffff]}
BtlCaption_QuizTimeAttackStart	{size[7800]}{[0001|1200]}{color[cf2c12ff]}開始！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_QuizTimeAttackEnd	{color[cf2c12ff]}{[0001|1200]}訓練結束{[0001|ffff]}{color[404040ff]}
BtlCaption_ConnectArrow	{[0001|1200]}{color[8aae3bff]}連接{color[404040ff]}{color[eed538ff]}箭頭吧！{color[404040ff]}{[0001|ffff]}
BtlCaption_RushStart	{color[ffffffff]}{[0001|1200]}猛攻時間！{[0001|ffff]}{color[404040ff]}
BtlCaption_RushTimeOut	{color[e7e7e7ff]}{[0001|1200]}猛攻時間結束{[0001|ffff]}{color[404040ff]}
BtlCaption_WaveBattle	{[0001|1500]}{size[4b00]}{color[d6b918ff]}ＷＡＶＥ戰！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_NextWave	{[0001|1500]}{size[4b00]}{color[d6b918ff]}ＮＥＸＴ　ＷＡＶＥ！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_LastWave	{[0001|1500]}{size[4b00]}{color[d6b918ff]}ＬＡＳＴ　ＷＡＶＥ！{color[404040ff]}{size[6400]}{[0001|ffff]}
BtlCaption_MagicHand	{color[ffffffff]}{[0001|1200]}{size[9600]}發動魔法陣！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicEarth	{color[ffffffff]}{[0001|1200]}{size[9600]}發動魔法陣！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicWater	{color[ffffffff]}{[0001|1200]}{size[9600]}發動魔法陣！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicFire	{color[ffffffff]}{[0001|1200]}{size[9600]}發動魔法陣！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_MagicIce	{color[ffffffff]}{[0001|1200]}{size[9600]}發動魔法陣！{size[6400]}{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart	{size[8200]}{[0001|1200]}{color[ffffffff]}發動剪刀石頭布！{color[404040ff]}{[0001|ffff]}{size[6400]}
BtlCaption_JunkenStart2_1	{[0001|1200]}{color[d6b918ff]}布{color[404040ff]}{color[e7e7e7ff]}的時候{color[404040ff]}{[0001|ffff]}
BtlCaption_JunkenStart2_2	{color[e7e7e7ff]}{[0001|1200]}搖動控制器！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenStart2_3	{color[e7e7e7ff]}{[0001|1200]}按下A鍵！{[0001|ffff]}{color[404040ff]}
BtlCaption_JunkenJun	{[0001|1500]}剪刀{[0001|ffff]}
BtlCaption_JunkenKen	{[0001|1500]}石頭{[0001|ffff]}
BtlCaption_JunkenPon	{color[d6b918ff]}{[0001|1500]}布{[0001|ffff]}{color[404040ff]}
BtlCaption_Ready	{[0001|1500]}{color[cf2c12ff]}預備{color[404040ff]}{[0001|ffff]}
BtlCaption_Go	{[0001|1500]}{color[cf2c12ff]}開始！{color[404040ff]}{[0001|ffff]}
BtlCaption_RescueMagicRing	{[0001|1500]}{color[cf2c12ff]}將魔法陣恢復原狀！{color[404040ff]}{[0001|ffff]}
BtlAC_A	
BtlPanel_On	{[0001|1300]}ＯＮ{[0001|ffff]}
Btl_PuzzleEndSelect	確定\n取消
Btl_PuzzleEnd	{[0200]}確定要結束嗎？\x0f\x02\0{[0104|2600420074006c005f00500075007a007a006c00650045006e006400530065006c006500630074000100000000000000]}
Btl_PuzzlePassSelect	跳過\n繼續
Btl_PuzzlePass	{[0200]}確定要跳過嗎？\x0f\x02\0\n{[0200]}（將減少{[0300|00000000]}秒的時間）\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065005000610073007300530065006c006500630074000100000000000000]}
Btl_PuzzleExitSelect	確定\n取消
Btl_PuzzleExit	{[0200]}確定要結束訓練嗎？\x0f\x02\0{[0104|2800420074006c005f00500075007a007a006c0065004500780069007400530065006c006500630074000100000000000000]}
Btl_RainbowSelect	要變身成四方神祇中的哪位呢？{[0104|2a00420074006c005f005200610069006e0062006f007700530065006c006500630074004c00690073007400ffffffff00000000]}
Btl_RainbowSelectList	地神祇\n水神祇\n火神祇\n冰神祇
Btl_NoTouchPad_00	瑪利歐～快醒醒～！
Btl_NoTouchPad_01	好！\n快排好箭頭吧～！
Btl_NoTouchPad_Junken_00	喂～瑪利歐……\n你該不會……睡著了吧～？
Btl_NoTouchPad_Junken_01	哇～！\n快把我從這裡救出來～！
BtlGodHand_Help_Rush	{size[5000]}{[0103|00000000]}不斷敲打，給予傷害吧！{[0101]}{size[6400]}
BtlGodHand_Sys_Grasp	{size[5000]}{[0200]}按緊後，重新開始\x0f\x02\0{size[6400]}
BtlAmulet_Startup_TimeUp	{[0001|1300]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_AntiDamage	{[0001|1300]}防禦上升！{[0001|ffff]}
BtlAmulet_Startup_HpUp	{[0001|1300]}＋{[0300|00000000]}{[0001|ffff]}
BtlAmulet_Startup_Party	{[0001|1300]}攻擊上升！{[0001|ffff]}
BtlUI_CheerSlot_Coin	{[0001|1200]}{[0300|00000000]}{[0001|ffff]}
BtlUI_CheerSlot_Coin_Nothing	{color[cf2c12ff]}{[0001|1200]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Coin	{[0001|1200]}{[0300|00000000]}{[0001|ffff]}
BtlUI_AddTime_Coin_Nothing	{color[cf2c12ff]}{[0001|1200]}{[0300|00000000]}{[0001|ffff]}{color[404040ff]}
BtlUI_AddTime_Time	{[0001|1200]}{color[cf2c12ff]}{[0300|00000000]}.0{color[404040ff]}{[0001|ffff]}
BuddyHint_1	如果踩了那個龜殼，\n會發生什麼事呢？\n會朝後方的敵人撞過去嗎？
BuddyHint_2	鎚子應該攻擊不到空中的敵人。
BuddyHint_3	刺刺的真是討厭。\n要是靴子太軟，\n踩到好像會很痛！
BuddyHint_4	骷髏好可怕……\n如果打倒後，下回合還是會\n復活的話，那就太恐怖了……
BuddyHint_5	那個敵人看起來硬邦邦的，\n感覺連火球都能彈開呢。
BuddyHint_6	鎚子起不了作用的話，\n用靴子踩不就好了嗎？
BuddyHint_7	消失不見真是太狡猾了，\n不過瑪利歐應該還記得\n敵人在哪裡對吧？
BuddyHint_8	鎚子和靴子的攻擊範圍\n好像不太一樣，\n看清楚敵人的位置再選擇武器吧。
BuddyHint_101	如果放著在生氣的敵人不管，\n可能會受到很猛烈的攻擊。
BuddyHint_103	瑪利歐的ＨＰ減少了好多！\n最好快點使用蘑菇喔！
BuddyHint_104	有一起戰鬥的同伴\n真是太讓人安心了！
BuddyHint_1001	要注意剩下的時間喔！\n如果不在時間內排列整齊，\n可能會很不妙……？
BuddyHint_1002	能夠操作圓環的次數也很重要，\n一個不小心，很容易就會用光喔。
BuddyHint_1003	操作圓環把敵人排列整齊，\n這可是戰鬥的基礎！
BuddyHint_2001	我來了！\n在戰鬥中按下的話，\n我會努力給出提示唷！
BuddyHint_2002	只要按下，奇諾比奧就會\n上場支援喔！{[0004]}按得越久，就會花費越多金幣，\n但效果也會跟著提升，\n是不是很厲害啊！
BuddyHint_2003	想逃離敵人的時候，\n只要長按就可以了！{[0004]}但有時可能會跌倒，\n也有無法逃離的敵人。\n注意不要過度使用了。
BuddyHint_2004	你有沒有在使用道具呢？\n有些道具的威力\n可能出乎意料地強大喔。
BuddyHint_2005	排列失敗時，\n大膽地使用道具或許也不錯呢。
BuddyHint_2006	看樣子沒辦法逃跑，\n只能正面迎戰了！
battle_Attack.msbt
BtlPlayerAttack_Boots	{size[4100]}{[0001|1200]}靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraBoots	{size[4100]}{[0001|1200]}閃亮靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraBoots	{size[4100]}{[0001|1200]}閃亮亮靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendBoots	{size[4100]}{[0001|1200]}傳說的靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_GoldBoots	{size[4100]}{[0001|1200]}黃金靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IronBoots	{size[4100]}{[0001|1200]}鋼鐵靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraIronBoots	{size[4100]}{[0001|1200]}閃亮鋼鐵靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraIronBoots	{size[4100]}{[0001|1200]}閃亮亮鋼鐵靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendIronBoots	{size[4100]}{[0001|1200]}傳說的鋼鐵靴子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Hammer	{size[4100]}{[0001|1200]}鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraHammer	{size[4100]}{[0001|1200]}閃亮鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraHammer	{size[4100]}{[0001|1200]}閃亮亮鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_LegendHammer	{size[4100]}{[0001|1200]}傳說的鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_GoldHammer	{size[4100]}{[0001|1200]}黃金鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_PoiHammer	{size[4100]}{[0001|1200]}丟丟鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraPoiHammer	{size[4100]}{[0001|1200]}閃亮丟丟鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_FireHammer	{size[4100]}{[0001|1200]}火焰鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IceHammer	{size[4100]}{[0001|1200]}冰凍鎚子{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Kinoko	{size[4100]}{[0001|1200]}蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKinoko	{size[4100]}{[0001|1200]}閃亮蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraKiraKinoko	{size[4100]}{[0001|1200]}閃亮亮蘑菇{[0001|ffff]}{size[6400]}
BtlPlayerAttack_PowBlock	{size[4100]}{[0001|1200]}ＰＯＷ磚塊{[0001|ffff]}{size[6400]}
BtlPlayerAttack_FireFlower	{size[4100]}{[0001|1200]}火之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraFireFlower	{size[4100]}{[0001|1200]}閃亮火之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_IceFlower	{size[4100]}{[0001|1200]}冰之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraIceFlower	{size[4100]}{[0001|1200]}閃亮冰之花{[0001|ffff]}{size[6400]}
BtlPlayerAttack_Tail	{size[4100]}{[0001|1200]}尾巴{[0001|ffff]}{size[6400]}
BtlPlayerAttack_KiraTail	{size[4100]}{[0001|1200]}閃亮尾巴{[0001|ffff]}{size[6400]}
BtlMagic_Hand	{size[4100]}{[0001|1200]}神祇之手{[0001|ffff]}{size[6400]}
BtlMagic_Earth	{size[4100]}{[0001|1200]}地神祇{[0001|ffff]}{size[6400]}
BtlMagic_Water	{size[4100]}{[0001|1200]}水神祇{[0001|ffff]}{size[6400]}
BtlMagic_Fire	{size[4100]}{[0001|1200]}火神祇{[0001|ffff]}{size[6400]}
BtlMagic_Ice	{size[4100]}{[0001|1200]}冰神祇{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Breath	{size[4100]}{[0001|1200]}沙塵吐息{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Tail	{size[4100]}{[0001|1200]}擺尾猛擊{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Earthquake_01	{size[4100]}{[0001|1200]}地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Earthquake_02	{size[4100]}{[0001|1200]}大地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Push	{size[4100]}{[0001|1200]}吹飛{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_Heal	{size[4100]}{[0001|1200]}回復{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_KING_Breath	{size[4100]}{[0001|1200]}沙塵吐息{[0001|ffff]}{size[6400]}
BtlBossAttack_HBE_KING_Earthquake_02	{size[4100]}{[0001|1200]}大地震{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WaterGun	{size[4100]}{[0001|1200]}高壓噴射{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WingBite	{size[4100]}{[0001|1200]}騰空撕咬{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Bite	{size[4100]}{[0001|1200]}撕咬{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tail	{size[4100]}{[0001|1200]}擺尾猛擊{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami	{size[4100]}{[0001|1200]}大浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_2nd	{size[4100]}{[0001|1200]}巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_3rd	{size[4100]}{[0001|1200]}滔天巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Tsunami_4th	{size[4100]}{[0001|1200]}末日巨浪{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Whirlpools	{size[4100]}{[0001|1200]}召喚漩渦{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_WhirlpoolsAttack	{size[4100]}{[0001|1200]}急流沖刷{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_Wing	{size[4100]}{[0001|1200]}翅膀拍擊{[0001|ffff]}{size[6400]}
BtlBossAttack_HBW_KING_Tsunami	{size[4100]}{[0001|1200]}大浪{[0001|ffff]}{size[6400]}
