BestScore\BestScore.msbt
BestScore_Title	最高得分
Raichu_Discription	雖然有著皮卡丘的影子，\n但卻隱約散發出成熟的氛圍，\n還有更加圓潤的肚子。
Parmot_Discription	比布撥還要大了一圈的巴布土撥\n抱起來變得更有份量、更舒服。\n但同時靜電也更強了，得要小心喔。
Thunders_Discription	尖尖刺刺的外型搭配偏硬的布料。\n但可以放心，只要慢慢地去抱它，\n就不會被扎得痛痛的了。
Leafia_Discription	這尾巴流暢的曲線，\n展現出了葉伊布的優雅氣質。\n真想從各個角度好好欣賞。
Mokuroh_Discription	木木梟能讓頭單獨轉向後方。\n不過，請不要用力去硬扭\n布偶的頭喔。
Churine_Discription	可能因為頭上的葉子太大了，\n它的小缺點就是容易東倒西歪。\n真想把它放在盆栽之類的裡面。
Junaiper_Discription	身披斗篷的外型就像是個英雄，\n這讓狙射樹梟的布偶在喜愛\n大自然的人們之間廣受歡迎。
Booster_Discription	如果脖子或尾巴的蓬蓬絨毛髒了，\n請用毛巾沾上中性清潔劑，\n溫柔地幫它擦一擦喔。
Nyabby_Discription	火斑喵總是一臉若無其事的表情。\n在緊急的時候會吐出燃燒的毛球。\n但它是布偶，所以別靠近火源喔！
Gardie_Discription	「任何時候我都會保護你。」\n這雙讓人感到可靠的堅定眼神，\n正是卡蒂狗的迷人亮點。
Windie_Discription	在感到害怕的夜晚\n如果枕著風速狗入睡，\n在夢裡牠也一定會保護你。
Yukihami_Discription	你看過雪吞蟲的肚子嗎？\n看到的圓圈數量，就是\n只屬於你的幸運數字喔！
Vanipeti_Discription	迷你冰非常怕熱，遇熱即融。\n但這是個布偶，所以大可放心。\n它不用放進冷凍櫃也沒問題的！
Tamazarashi_Discription	一不小心就會跟著線團\n咕嚕嚕地越滾越遠，\n是個圓嘟嘟的調皮蛋。
Arukujira_Discription	走鯨摸起來是乾乾爽爽的呢？\n還是像麻糬那樣有彈性呢？\n抱一抱確認看看吧。
Lucario_Discription	路卡利歐連坐姿也是酷酷的。\n那雙直率的眼神，就好像\n要把我的心思也都看透了。
Yogiras_Discription	幼基拉斯看起來小小的一隻，\n其實卻很重。不過如果是布偶，\n要將它舉高高也不是問題喔。
Metagross_Discription	因為想從巨金怪那裡分來一些\n不輸給超級電腦的聰明腦袋，\n我就稍微把布偶戴在頭上走一走吧？
HisuiGardie_Discription	有著翹翹捲捲的毛、被毛遮住的眼睛，\n姿態卻又散發著安心可靠的氣場。\n真想在家門口擺一對當裝飾。
HisuiWindie_Discription	有天我忍不住把臉埋進了\n這蓬蓬鬆鬆的大尾巴，\n結果被纏得差點沒辦法掙脫……
Pochiena_Discription	身體小巧卻長著尖尖的獠牙。\n可愛又威風的土狼犬魅力\n滿滿濃縮在布偶之中。
Dooh_Discription	你看！這裡這裡！是這裡喔！\n我會用這雙小小的眼睛\n無時無刻地注視著你喔。
Zorua_Discription	就算索羅亞能巧妙幻化成對手，\n應該也沒辦法變成布偶……\n咦？它剛才是不是眨了眨眼？
Gangar_Discription	沒有精神的日子總是會與它相凝視。\n這時候，彷彿就會聽到它對我說：\n「總會有辦法的啦！」
Eleson_Discription	「光是可愛，好像還差點什麼。」\n在這樣的人之間現在大受歡迎的，\n就是這張帶點搖滾風格的娃娃臉。
Mimikkyu_Discription	你剛才從下面偷看了它對吧？\n看了之後又悄悄把它放了回去對吧？\n我就當作什麼都沒發生吧。
Mawhip_Discription	長相甜～美的霜奶仙，\n好像會有甜～甜的香氣飄過來，\n讓我感覺肚子有一點餓了……
Pupimocchi_Discription	絲滑又有彈力的質感，\n就像是還會繼續膨脹的麵包。\n不過，可別把它放進了烤箱喔。
HisuiZorua_Discription	八字眉配上有一點下垂的眼睛，\n這模樣有種說不上來的魅力，\n令人看得會心癢癢的。
Sirnight_Discription	沙奈朵的坐姿優雅美麗。\n我模仿牠擺出了相同的姿勢，\n結果腳就麻掉了。
Numelgon_Discription	因為黏美龍有點黏黏滑滑\n而猶豫要不要緊抱牠的人，\n這下可以愛怎麼抱就怎麼抱了。
SyaritatsuNobitaSugata_Discription	嘿！吃飽了沒啊！\n會喜歡這直直的平挺姿勢，\n想必你的個性很開朗。
SyaritatsuTaretaSugata_Discription	嘿！吃飽了沒啊！\n會喜歡這懶懶的下垂姿勢，\n想必你的個性很溫柔。
SyaritatsuSottaSugata_Discription	嘿！吃飽了沒啊！\n會喜歡這彈性十足的上弓姿勢，\n你該不會……有點在生氣？
Gaburias_Discription	烈咬陸鯊尖尖的翅膀雖然\n有點可怕，不過牠的布偶\n坐著的樣子還蠻可愛的。
Mukkuru_Discription	姆克兒不論擺在哪裡都能融入環境。\n一不留神可能就會越來越多，\n讓整個房間變得熱熱鬧鬧的。
Poppo_Discription	就算在房間裡不見了，\n方向感超好的波波也一定\n會從某個角落出現才是。
Tyltto_Discription	這是青綿鳥把軟綿綿的翅膀\n窩起來當床睡在裡面的模樣。\n光是看著就能感到幸福。
Kokogara_Discription	小小的身體、英氣十足的臉龐，\n如果擺放在書桌上，\n說不定還能稍微提升幹勁呢。
ShayminLandForme_Discription	謝米會因感謝的心意而開花。\n所以牠的布偶最適合\n當禮物送給重要的人了。
Jirachi_Discription	據說基拉祈擁有\n能實現任何願望的力量。\n真想把它隨時放在包包裡。
Mew_Discription	夢幻是幾乎沒有人見過的\n幻之寶可夢。擺在角落的話，\n還真是挺像那麼一回事的。
Ootachi_Discription	大尾立逃跑的速度快得無比，\n這個布偶捕捉了難得一見的\n大尾立的安穩睡相。
Chillarmy_Discription	泡沫栗鼠迷人的地方\n是牠那長得像掃把的尾巴。\n不過請不要用它打掃喔。
Bippa_Discription	有著肉肉的身體和\n好像什麼都沒在想的眼神。\n真是休閒時的好夥伴。
Purin_Discription	在總覺得想唱歌的寂寞夜晚\n只要有胖丁陪伴在身旁，\n心情就像是在唱雙重唱。
Gekkouga_Discription	看起來像圍巾的長舌頭會隨動作飄舞，\n讓甲賀忍蛙在小朋友們之間大受歡迎。\n牠就連放鬆的姿勢也是帥氣無比。
Keromatsu_Discription	胸口和背上的泡泡\n使用了蓬鬆的棉花製成。\n要是弄濕，就會變得小小的。
Pochama_Discription	雖然波加曼的自尊心很強，\n但這就像是一屁股噗咚坐下的姿勢，\n有種說不上來的可愛。
Bachuru_Discription	小小的、蓬蓬鬆鬆的電電蟲，\n可以緊緊貼在各種地方。\n貼在包包上或許也會很時尚。
Bachinuni_Discription	雖然真正的啪嚓海膽渾身都刺人，\n不過布偶的刺是裝滿溫柔製成的。\n你看，不會痛喔。歡迎摸摸看。
AlolaRaichu_Discription	阿羅拉的雷丘拿手的運動是用尾巴衝浪！\n這造型應該是牠小小休息時，\n坐在海灘上欣賞海浪的樣子吧。
Elfuun_Discription	就算是喜歡惡作劇的風妖精，\n如果是布偶就可以任我東看西摸了。\n啊，這裡竟然有個果蒂。
Naetle_Discription	明明是用線製成的布偶，\n甲殼摸起來卻有一點點\n泥土的味道和濕濕的感覺。
Harimaron_Discription	從背後仔細觀察哈力栗時，\n有個點忽然讓我好在意……\n這咖啡色的圓點是牠的斑紋嗎？
Achamo_Discription	因為火稚雞暖烘烘的很溫暖，\n睡覺時總是好想把牠抱在懷裡。\n但夏天就會有點熱。
Hitomoshi_Discription	看著搖來搖去的火焰，\n應該就能讓心情平靜下來。\n就算火焰沒在搖，應該也有效才是。
Fokko_Discription	從耳朵冒出的毛鬆鬆軟軟，\n就像毯子那樣暖烘烘，\n摸起來的感覺棒極了。
Kumasyun_Discription	那眼神、手的擺法，還有那鼻涕！\n噴嚏熊就是會激起人的保護欲，\n令人忍不住想要照顧牠。
AlolaSand_Discription	聽說鋼鐵材質的甲殼，\n讓牠沒法讓身體蜷縮起來。\n果然事情很難兩全其美呢。
Yukimenoko_Discription	在暗暗的房間和雪妖女對上眼，\n就會心跳突然漏跳一拍。\n不只是被驚嚇，也是因為美得驚豔。
Laplace_Discription	實在是忍不住內心的衝動，\n於是讓它在浴缸裡漂了漂，\n結果花了我3天才把它晾乾。
Sand_Discription	雖然背部用了硬硬的布料，\n但肚子的布料相對比較軟。\n真讓人忍不住想伸手戳一戳。
Bangiras_Discription	班基拉斯穩重地腳踏大地\n聳立著的模樣，簡直是隻怪獸！\n從下往上看，又更有氣勢了。
Riolu_Discription	來數數看利歐路有幾個肉球吧。\n有6個？不對不對，其實在\n意想不到的地方也有肉球喔。
Eifie_Discription	據說太陽伊布可以透過感受\n空氣流動去預測出對手的行動。\n真希望也能告訴我明天的天氣。
Nyasper_Discription	妙喵的樣子就像是在用耳朵\n牢牢地掩住了源源湧出的能量。\n要不要掀起耳朵來看，就由你決定囉。
Peroream_Discription	只要和胖甜妮一起出門，\n總覺得不論是什麼東西，\n都能好吃得欲罷不能。
Munna_Discription	如果把它放在枕頭旁睡覺，\n不知道會不會幫我吃掉\n昨天那個令人有點難過的夢。
Fushide_Discription	請別說它有點可怕。\n這只是個布偶，不會有毒，\n儘管放下心來抱抱看吧。
Bracky_Discription	就算是在黑暗中，月亮伊布的\n紅色眼睛和像月亮般發光的\n黃色花紋都會守護著你。
Pendror_Discription	請看這噸位。不論是身體的曲線，\n許許多多的刺，都做得飽滿無比，\n抱起來非常實在呢。
Kairyu_Discription	人們稱快龍為「大海的化身」。\n這座小鎮的人在出海時，\n常常會帶著快龍的布偶當伴喔。
Kajicchu_Discription	從蘋果裡面露出了\n大大的眼睛和尾巴來問好。\n別試著把啃果蟲拉出蘋果喔。
Fukamaru_Discription	真想讓圓陸鯊用那張好像能咬碎\n任何東西的嘴，吃掉各種東西。\n譬如明天要交的作業之類的……
Flygon_Discription	沙漠蜻蜓的振翅聲有如歌聲。\n聽到這樣的傳聞後，我偷偷地\n讓布偶的翅膀上下拍動了一番。
Tyltalis_Discription	只要被七夕青鳥這雙用棉絮\n做成的翅膀包住，任何小孩子\n應該都會在眨眼之間睡著。
Naty_Discription	那像是會被吸進去的眼睛，\n加上會帶來視覺衝擊的體色。\n天然雀肯定與個性十足的你相襯。
Yayakoma_Discription	雖然小箭雀很容易和人類親近，\n但聽說如果強行去摸牠，就會被灼傷。\n不過這是布偶，所以可以放心啦。
Koraidon_Discription	好想有一天能騎在故勒頓的背上，\n在遼闊的大地盡情奔馳！\n這個布偶專為遙想古代的你製作。
Miraidon_Discription	好想有一天能騎在密勒頓的背上，\n在閃耀的城鎮盡情奔馳！\n這個布偶專為遙想未來的你製作。
IkkanezumiYonhikiKazoku_Discription	以完美的平衡設計\n製作而成的可愛布偶。\n倒下時也絕對不會分散。
Nuikoguma_Discription	雖然這身形讓人忍不住想抱住牠，\n但童偶熊的力氣很大，很危險。\n還是抱個布偶來過過乾癮吧。
Hoshigarisu_Discription	鼓鼓的頰囊裡，\n塞滿了什麼東西呢？\n是樹果？小石頭？還是……？
Nuoh_Discription	抱著沼王的布偶大喊一聲：\n「找啥～！！」\n如何？覺得有點暢快對吧！
Mijumaru_Discription	脖子有圓鼓鼓的毛環繞，\n腹部有美麗的扇貝貝閃耀，\n水水獺怎麼看都是時髦無比。
Mizugorou_Discription	嘴巴緊緊抿成一直線，\n緊緊盯著這邊看的水躍魚。\n還是稍微把它轉向旁邊吧。
Waninoko_Discription	即使是體色清爽、鮮豔，\n總是活力滿滿的小鋸鱷，\n變成布偶後好像就溫順了些？
Dedenne_Discription	把咚咚鼠貼到自己的臉頰，\n就會被牠的鬍鬚尖電得酥酥麻麻的。\n雖然有點痛，不過好像會上癮。
Pachirisu_Discription	帕奇利茲有著比身體還大的尾巴。\n為了讓布偶站穩，得要小心地……\n唉呀！倒得四腳朝天了。
Merriep_Discription	咩利羊全身包覆著\n冬暖夏涼的蓬鬆體毛，\n一起睡午覺再舒服不過了。
Kimori_Discription	有著大腳丫和分成兩叉的尾巴。\n善用這些特徵的話，似乎可以\n把布偶掛在各種地方。
Chicorita_Discription	※注意※\n給布偶頭上的葉子澆水，\n葉子也不會長大。
Tsutarja_Discription	全身都展現著曲線之美。\n表情會隨著看它的角度而千變萬化，\n有時像是故作端莊，有時又像在微笑。
Watashiraga_Discription	零星散布在大團棉絮上的種子，\n正是白蓬蓬的魅力特徵。\n咦？這是真的種子？
Hikozaru_Discription	學小火焰猴把雙手雙腳\n伸展成大字型，放鬆一下。\n偶爾有這樣的日子也不錯吧？
Hinoarashi_Discription	火球鼠背上的火焰是在危急時才會噴出，\n但因為這是布偶，所以特別做成了\n隨時都能讓火焰噴出的樣式。
Pokabu_Discription	最愛吃烤樹果的愛吃鬼。\n雖然從正面看也很可愛，\n但特別推薦的是屁股和尾巴！
Rokon_Discription	一、二、三、四、五、六……\n六尾的尾巴總共是6條！\n記起來的話，說不定會有好事？
Glacia_Discription	冰伊布的魅力再怎麼說\n都是牠那閃耀的體毛。\n我早就想盡情地摸看看了！
Delibird_Discription	看起來像個袋子的尾巴\n裡面塞滿了蓬鬆的棉花。\n可沒有裝禮物喔。
AlolaRokon_Discription	為了在雪中也不會覺得冷，\n我讓布偶6條尾巴的蓬鬆度\n增加了3成。
Iwanko_Discription	不只是岩狗狗大大的尾巴，\n就連脖子上的岩石也做得鬆鬆軟軟，\n即使蹭上去，也不會痛喔。
Surfugo_Discription	以一身金色身體廣受\n大家喜愛的帥氣傢伙。\n但好像有點太耀眼了……
Dekanuchan_Discription	和牠引以為傲的大錘子在一起，\n巨鍛匠隨時隨地都可愛無比。\n不過，牠的睡姿卻是很豪邁的呢。
Nymphia_Discription	仙子伊布優雅的緞帶和舉止，\n任誰都會一眼就感到療癒。\n真想學習牠這份時尚氣質。
Bakeccha_Discription	圓圓的南瓜、小小發亮的眼睛，\n雖然南瓜精怎麼看都可愛，\n但半夜看到時可能會有點怕怕的。
Pumpjin_Discription	南瓜怪人會在夜晚的森林徘徊，\n讓人感到害怕。但做成布偶後，\n反倒是變得意外地可愛呢。
Pippi_Discription	頭上捲捲的毛非常可愛。\n廣受歡迎的皮皮有很多忠心粉絲，\n還有人把房間裝飾得滿滿都是皮皮。
Gureggru_Discription	我模仿不良蛙布偶的表情\n試著露出一點點牙齒，\n結果嘴唇就抽筋了……
Chiwohauhane_Discription	忍不住蹦蹦地跳上了它的背，\n結果弄得輕柔的棉絮滿天飛。\n哈、哈……哈啾！！
Merlarva_Discription	燃燒蟲背上的那5隻角，\n讓牠看起來就像是太陽。\n很多人情不自禁就迷上了牠。
Sebie_Discription	從兩隻手垂下來晃呀晃的\n黃色部分其實是牠的羽毛。\n小歸小，卻是很重要的一部分。
Tatsubay_Discription	說到腦袋堅硬的寶可夢，就是寶貝龍。\n用我的額頭撞一撞，看誰比較硬！\n咚、咚、咚……咦？不痛耶。
Numera_Discription	下雨天將黏黏寶的布偶擺在窗邊，\n就算只是靜靜地一直望著窗外，\n也一定很棒。
Bohmander_Discription	暴飛龍有一雙不斷祈求後得到的\n威風大翅膀。這個布偶的氣派程度，\n一點都沒有辜負牠那份強烈的渴望。
Archen_Discription	夢想有朝一日能夠飛翔的始祖小鳥\n那雙色彩鮮豔的美麗翅膀，\n就像是滿載著牠對進化的期待。
Armorga_Discription	烏黑的鎧甲和羽毛超酷。\n真想把它擺在肩膀上，\n耍帥地在街上闊步。
Kamonegi_Discription	把跟性命一樣重要的莖\n牢牢地抱在懷裡的大蔥鴨，\n臉上表情看起來無比滿足。
Catalog\List.msbt
Catalog_List_Title	型錄
Catalog_List_Possession_Num_All	擁有的布偶數量
Catalog_List_Created_Num_All	至今製作的布偶數量
Catalog_List_Detail	查看詳情
DLC\DLC.msbt
DLC_Title	商店
DLC_Detail	說明
DLC_Purchased	已購買
DLC_NotAvailable	無法購買
DLC_Set	套組商品
DLC_Buy	前往購買
DLC_Law_01_Title	Notation Based on Article 12-6 of the Act on Specified Commercial Transactions
DLC_Law_02_Title	Notation under the Act on Specified Commercial Transactions
DLC_Law_02_Exp	■ Support/Contact:\nPlease contact us at: https://www.apppokemon.com/gate/\n\n■ Service operator:\nThe Pokémon Company\n6-10-1 Roppongi, Minato-ku, Tokyo\nPhone: 0120-049-725\n\n*We do not provide any support or accept any inquiries by phone.\nPlease note that should you contact us by phone, we will ask you to contact us again through our support site (https://www.apppokemon.com/gate/).\n\n■ Service operation manager:\nTsunekazu Ishihara, President and CEO\n\n■ Sales price:\nThe sales price (including consumption tax) is shown for each product on the corresponding page.\n\n■ Timing and method of payment:\nTo be determined by each platform.\n\n■ Time of delivery:\nThe provision of the service will begin after the payment procedure is completed.\n\n■ Monies incurred by users other than the sales price:\nCommunication charges incurred during communication.\n\n■ Return Policy: Subject to each platform’s requirements.\nExcept as otherwise provided in the terms of each platform, we do not accept any returns after the purchase is confirmed, unless we deem, in our sole discretion, that the returns are appropriate. Also, you cannot return any product through a platform other than the one from which you actually purchased it.\nWe appreciate your understanding in advance.\n\n■ Defects:\nEven if a product is defective (e.g., malfunctioning), we will not be liable to repair any defects in the product.\n\n■ Supported models:\nSmart device terminals that can run the Service are required.\nPlease check our support site (https://www.apppokemon.com/gate/) and other relevant websites for the operating environment.\n\nUpdate: July 22, 2025
DLC_Law_03_Title	關於取消
DLC_Law_03_Exp	[청약 철회 안내]\n※상품 구입 7일 이내에 청약철회 신청이 가능하지만 상품 제공이 개시 되거나 사용한 경우 청약철회 신청이 제한됩니다.\n※법정 대리인의 동의가 없는 미성년자의 결제는 취소할 수 있습니다.\n\n[About cancellation]\n- You can apply for cancellation or withdrawal within 7 days of purchasing the product/service, but if the product/service has been provided or used, the application for cancellation or withdrawal is limited.\n- Payments by minors without the consent of a legal representative may be canceled or withdrawn\n\n[請約撤回について]\n※商品の購入から7日以内に契約の申込みの撤回が可能ですが、商品の提供が開始されたり使用されたりした場合、契約の申込みの撤回が制限されます。\n※法定代理人の同意がない未成年者の決済はキャンセルすることができます。\n
DLC_Restore_Title	購買後的注意事項
DLC_Restore_Exp	若已購買的下載內容沒有被追加到遊戲中，\n您可以從「復原」恢復購買資訊。\n\n要復原購買資訊嗎？
DLC_Restore_Cancel	返回
DLC_Restore_OK	復原
DLC_Restore_Done	已復原您購買的下載內容。
DLC_Restore_Done_OK	OK
DLC_Restore_Unfound	沒有找到可以復原的下載內容。
DLC_Restore_Unfound_OK	OK
DLC_Restore_Fail	復原失敗。
DLC_Restore_Fail_OK	OK
DLC_DataTransision_Caution_Title	購買時的注意事項
DLC_DataTransision_Caution_Exp	若要執行「繼承儲存資料」至\n與本裝置使用的{[0117]}不同的{[0117]}，\n或繼承至不同的OS裝置，\n則無法繼承下載內容的購買資訊。\n屆時必須重新購買下載內容，敬請留意。\n\n商品有可能可以重複購買，\n購買時敬請留意。\n\n詳細資訊請確認客服網站。
DLC_DataTransision_Caution_Support	前往客服網站
DLC_DataTransision_Caution_Back	返回
DLC_DataTransision_Caution_Buy	OK
DLC_Set_Caution01_Exp	另有包含此商品在內，\n且價格優惠的「綜合包」。\n確定要繼續購買嗎？
DLC_Set_Caution01_Back	返回
DLC_Set_Caution01_OK	下一步
DLC_Set_Caution02_Exp	另有包含此商品在內，\n且價格優惠的「多多講究包1＆2套組」。\n確定要繼續購買嗎？
DLC_Set_Caution02_Back	返回
DLC_Set_Caution02_OK	下一步
DLC_Set_Caution03_Exp	另有包含此商品在內，且價格優惠的\n「綜合包」和「多多講究包1＆2套組」。\n確定要繼續購買嗎？
DLC_Set_Caution03_Back	返回
DLC_Set_Caution03_OK	下一步
DLC_FinalConfirm_Exp	確定要購買「{[0114]}」嗎？
DLC_FinalConfirm_Cancel	還是算了
DLC_FinalConfirm_Buy	前往購買
DLC_FinalConfirmNA_Exp	購買此虛擬內容後，\n您將基於本公司的使用條款獲得權限。
DLC_FinalConfirmNA_Button	前往使用條款
DLC_FinalConfirmNA_Cancel	還是算了
DLC_FinalConfirmNA_Buy	前往購買
DLC_Interrupt	購買過程已被中斷。
DLC_Interrupt_OK	OK
DLC_Done	已完成購買。
DLC_Done_OK	OK
DLC_NX_Caution	購買的下載內容已下載完畢。\n為了開啟下載的內容，即將返回標題畫面。
DLC_NX_Caution_OK	OK
DLC_SP_Caution	為了下載已購買的下載內容資料，\n即將返回標題畫面。
DLC_SP_Caution_OK	OK
DLC_Detail_Confirm_Title	Notation Based on Article 12-6 of the Act on Specified Commercial Transactions
DLC_Basic_Title	歡樂暢玩包
DLC_Basic_Price	{[0118|01cd]}
DLC_Basic_Exp	購買後即可不受次數限制地解題目。\n內容不僅有新增的題目和布偶，\n還會新增方便功能，\n適合想要盡情享受遊戲樂趣的玩家。
DLC_Basic_Detail	・每天能遊玩「解解看」的次數不再受限制。\n\n・能在月曆確認過去的紀錄，並且複習過去2個月份所玩過的題目。\n\n・追加20種「解解看」的新題目。\n追加的題目：花椰猴夥伴咖啡館、幕下力士猛推岩、尋找呱呱泡蛙！、狙射樹梟留一球、蓮葉童子乘乘樂、南瓜精探照燈、展翅飛翔、屬性圓牌放回去、秘密石板、鑰圈兒愛開門、光照櫻花兒、高速旋轉！眼力大考驗、螺釘地鼠挖蘑菇、毒電嬰來收拾、索財靈數硬幣、方方正正剛剛好、傑尼龜來澆水、毛辮羊想回家、紅燈藍燈排隊亮！、一對鼠湊一對！\n\n・追加6種能在「解解看」獲得的線團。（僅在以下6種線團目前不在出現的對象中時，才會追加。）\n追加的線團：冰凍線團、堅硬線團、危險線團、神奇線團、龍之線團、羽毛線團\n\n・追加50種能用「布偶機」製作的新布偶。\n追加的布偶：卡比獸、向尾喵、捲捲耳、長耳兔、卡蒂狗、風速狗、火伊布、火斑喵、呆呆獸、水伊布、球球海獅、拳海參、葉伊布、百合根娃娃、木木梟、狙射樹梟、雷丘、雷伊布、來電汪、巴布土撥、海豹球、迷你冰、雪吞蟲、走鯨、卡蒂狗（洗翠的樣子）、風速狗（洗翠的樣子）、幼基拉斯、巨金怪、路卡利歐、耿鬼、土狼犬、索羅亞、毒電嬰、土王、沙奈朵、索羅亞（洗翠的樣子）、謎擬Q、霜奶仙、狗仔包、烈咬陸鯊、黏美龍、米立龍（平挺姿勢）、米立龍（下垂姿勢）、米立龍（上弓姿勢）、波波、青綿鳥、姆克兒、稚山雀、捷拉奧拉、烈空坐\n\n・追加2個「布偶房」新房間。\n\n・獲得3種能在「布偶房」使用的新壁紙。\n追加的壁紙：玩具房、花園房、原木房\n\n・「友誼任務」追加新「願望」，實現願望後能獲得6種新家具作為報酬。\n追加的家具：波加曼椅子、阿羅拉六尾沙發、鯉魚王彈跳床、黏美龍滑梯、蚊香蝌蚪架子、正電拍拍＆負電拍拍架子
DLC_Basic_Detail_Confirm	■ Quantity:1\n[歡樂暢玩包]\n\n■ Sales price:\n{[0118|01cd]}\n\n■ Time and method of payment:\nPayment is made at the time of purchase of the product by the method specified by the platform used at the time of purchase, as specified by the user.\n\n■ Time of provision:\nImmediately after payment\n(There may be a slight delay of a few minutes depending on communication conditions.)\n\n■ Returns and cancellations:\nDue to the nature of the product, returns and cancellations are not accepted after purchase.
DLC_DLC01_Title	多多講究包1
DLC_DLC01_Price	{[0118|02cd]}
DLC_DLC01_Exp	新題目和新布偶登場！\n還有布偶房的新壁紙呢！\n想要更講究的玩家請勿錯過。
