CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	老婆……\n艾德……！艾德娜……
C01_EV1040_00010_RODN	連我跟那些傢伙都分不出來……\n你可真是被殺氣沖昏——
C01_EV1040_00020_BAYO	我非常冷靜。
C01_EV1040_00024_RODN	那就好。
C01_EV1040_00028_RODN	看來在這場騷動中，很難賺到天界那幫人的光環——
C01_EV1040_00030_RODN	不過這塊混沌孕育出來的寶玉也是挺有趣的。
C01_EV1040_00040_BAYO	難道你在想怎麼做生意嗎？
C01_EV1040_00050_RODN	呵……你真敏銳。
C01_EV1040_00060_RODN	歡迎來到地獄之門。
C01_EV1040_00070_RODN	這次就拿這東西來跟我換上等貨吧。
C01_EV1040_00080_RODN	當然我也十分歡迎你帶光環過來，\n我會賣你一些特殊商品。
C01_EV1045_00010_RODN	等一下。\n忘記把這個給你了。
C01_EV1045_00020_RODN	既然你能恣意使喚惡魔奴隸，這個應該也難不倒你吧。\n要好好寶貝它啊？
C01_EV1045_00040_BAYO	很不錯呢。
C01_EVa122_00050_BAYO	哦……看來我太粗暴的話，會讓你不開心呀。
C01_EVa122_00060_BAYO	那麼，讓我來溫柔地陪你玩吧。
CHAPTER/chapter01_ta
C01_TA0001_00010_BAYO	感謝各位的熱烈歡迎。\n這裡就是玄關吧？
C01_TA0002_00010_BAYO	你可別扯我後腿唷，小貓咪。
C01_TA0002_00020_GIRL	不……不要叫我小貓咪！\n我一個人也可以對付這種貨色！
C01_TA0003_00010_GIRL	這是什麼？
C01_TA0003_00020_BAYO	一種感應到魔力才會開啟的箱子。\n看來這座島上確實曾經存在過魔女。
C01_TA0004_00010_BAYO	那個看起來像海市蜃樓的是……
C01_TA0004_00020_GIRL	啊，那一定是在次元另一端的平行世界。
C01_TA0004_00030_GIRL	建造這座島的人們，\n或許也在這裡觀測過其他世界呢……
C01_TA0012_00010_BAYO	這是……\n我感應到與月光相似的波動。
C01_TA0014_00010_BAYO	看來這就是魔力之泉吧。\n真是十分有趣的島嶼呢。
C01_TA0015_00010_BAYO	你也差不多想大鬧一場了吧！
C01_TA0020_00010_GIRL	死路嗎……？\n不過，這牆真奇怪。
C01_TA0020_00010_BAYO	要用魔力敲幾下才能打開喔。\n如果連牆壁說的悄悄話都聽不到，可不配當魔女呢。
C01_TA0021_00010_BAYO	這次又是什麼刺激的呀？
C01_TA0021_00020_GIRL	這難道是……\n能來回多重宇宙間的裝置嗎？
C01_TA0021_00030_GIRL	等等，蓓優妮塔。\n你別太亂來呀。
C01_TA0023_00010_BAYO	哎呀，看來已經太遲囉。
C01_TA0023_00020_GIRL	蓓優妮塔！！
C01_TA0023_00030_BAYO	似乎得暫時道別了，希望你平安無事。
C01_TA0025_00010_NARR	
C01_TA0025_00020_NARR	
C01_TA0026_00010_NARR	
C01_TA0026_00020_NARR	
C01_TA0026_00030_NARR	
C01_TA0026_00040_NARR	
C01_TA0026_00050_NARR	
C01_TA0026_00060_NARR	
C01_TA0026_00070_NARR	
C01_TA0040_00010_BAYO	這裡……地面似乎變得很脆弱。
C01_TA0041_00010_SDF3	喂——有人在嗎？
C01_TA0041_00020_SDF3	喂——有人在的話就回應一聲～
C01_TA0041_00030_SDF3	可惡，要是能炸開一個讓人通過的洞，\n就可以把這些人帶出去了……
C01_TA0042_00010_SDF3	得救了。\n不過你究竟是……
C01_TA0050_00010_SDF4	這裡是本部，我們接獲聯絡，\n有作戰隊員被困在地下水道設施內。
C01_TA0050_00020_SDF4	附近如果有可以行動的人員，請立即前往救援。
C01_TA0050_00030_SDF4	重覆一次。
C01_TA0050_00040_SDF4	我們接獲聯絡，\n有作戰隊員被困在地下水道設施內。
C01_TA0050_00050_SDF4	目前無法與他們聯繫。\n附近如果有可以行動的人員，請立即前往救援。
C01_TA0060_00010_SDF5	HQ、HQ，請回答。這裡是【波雲】小隊。
C01_TA0060_00020_SDF5	隊上有數名傷患，目前在地下水道內，\n無法移動。
C01_TA0060_00030_SDF5	請求緊急支援。請求緊急支援。
C01_TA0070_00010_SDF6	報告HQ，這裡是在代代木區域戒備中的【叢雲】小隊。\n確認到有兩個人影正在追逐目標。
C01_TA0070_00020_SDF6	兩者的動作都不像人類。\n同時我們也得到目擊巨大怪物身影的證言。
C01_TA0070_00030_SDF6	有可能是新目標，請多加注意。\n完畢。
C01_TA0070_00030_SDF7	報告本部，新宿上空有巨大飛行物體，\n正轉往東北方。
C01_TA0070_00050_SDF7	怎麼可能……有這種事……\n都廳舍消失了……！？
C01_TA0070_00060_SDF7	這該怎麼辦？\n本部，請立即給予指示，本部……
CHAPTER/chapter02_ev
C02_EV1050_00010_BET1	貞德……
C02_EV1050_00020_BET1	貞德……貞德……
C02_EV1050_00030_BET1	貞——德！
C02_EV1055_00010_BAYO	剛才那是什麼……
C02_EV1055_00020_PHAN	你這小傢伙是誰啊？
C02_EV1055_00030_PHAN	雖然有強大的戰意……\n但只不過是人類嘛！
C02_EV1055_00040_BAYO	怎麼啦，怪物先生。
C02_EV1055_00050_BAYO	你的身體裡有裝\n肌肉以外的東西嗎？
C02_EV1055_00060_PHAN	真敢說啊，小蟲子！\n我要把你踩扁！
C02_EV1055_00070_PHAN	哼，你那不討喜的態度跟語氣……\n感覺跟主人真像。
C02_EV1055_00080_PHAN	罷了……能在這裡相遇也是緣分，\n我就暫時……跟你一起行動吧。
C02_EVa145_00010_PHAN	主人在叫我了……\n再見了，人類。
C02_EVa145_00020_BAYO	騎在你身上的感覺還不錯喔。\n後會有期。
C02_EV1060_00010_BAYO	哎呀，你好像挺有骨氣的呢。
C02_EV1060_00020_BAYO	叫什麼名字呢？
C02_EV1060_00030_BAYO	我可是很擅長調教狗狗喔。
C02_EV1060_00040_BAYO	小狗狗過來吧，我來訓練你雜耍。
C02_EV1070_00010_BAYO	知道誰是主人了嗎？
C02_EV1070_00020_BAYO	知道的話，就在那裡乖乖坐下。
C02_EV1070_00030_BAYO	是不是訓練得太嚴格了？
CHAPTER/chapter02_ta
C02_TA0090_00010_BAYO	可能會傷到頭髮……但只能從這裡前進了。
C02_TA0100_00010_BAYO	那裡的水塔好像能拿來用呢。\n不過，我可不想過去。
C02_TA0015_00010_NARR	可惡……\n喝啊……嗚哇……
C02_TA0015_00020_BAYO	這個聲音是……！？
C02_TA0015_00030_NARR	
C02_TA0015_00040_NARR	痛痛痛……得救了，小柴貓。
C02_TA0015_00050_NARR	那是什麼……？\n小柴貓，去看看吧！
C02_TA0015_00060_BAYO	真是活潑。\n小貓咪好像沒事呢。
C02_TA0140_00010_BAYO	像你這樣四處搗亂的壞孩子，\n就該被祂緊緊綁起來。
C02_TA0050_00010_BAYO	坐在你背上的感覺比想像中還要好呢。
C02_TA0060_00010_BAYO	哎呀，風景真是不錯呢。
C02_TA0093_00010_BAYO	天使、惡魔、人類……感覺都不對呢。\n你到底是什麼來歷？
CHAPTER/chapter03_ev
C03_EV1080_00010_LUKA	你相信命運嗎？
C03_EV1080_00020_BAYO	路卡！？
C03_EV1080_00030_LUKA	我們的相遇就是命運，不論是誰都無法阻礙。
C03_EV1080_00040_LUKA	真是……這些傢伙有夠煩人。
C03_EV1080_00050_LUKA	你來得正好，可以幫我收拾一下嗎？
C03_EV1080_00060_LUKA	拜託你啦！瑟蕾希塔！！
C03_EV1080_00070_BAYO	等等……！？
C03_EV1080_00080_BAYO	唉……真是可怕的行動力啊。
C03_EV1100_00010_BAYO	那是……！？
C03_EV1100_00020_BET1	我要找的是你們的老大。
C03_EV1100_00030_BET1	所以不要來妨礙我！
C03_EV1100_00035_PHAN	我要……暫時休息一下。
C03_EV1100_00040_BET1	中大獎了！
C03_EV1100_00050_BET1	幸虧你的弱點顯而易見。\n難不成你其實是想被我欺負一下？
C03_EVa1a3_00005_BET1	來得正好！
C03_EVa1a3_00010_PHAN	主人，久等了！
C03_EVa1a3_00020_BET1	我絕對不會放過你……！
C03_EVa1a3_00030_BOS1	多說無益。\n不論是這個世界……還是你，都逃不過毀滅的命運。
C03_EV1110_00020_BOS1	已確定毀滅的現象……將加速邁向再生。
C03_EV1110_00030_BOS1	「統治者·夏娃」啊，你消滅的事實，\n將會成為阿爾法宇宙的基石——
C03_EV1110_00040_BOS1	並永遠支撐著世界。
C03_EV1110_00060_BAYO	我確實收到了你的意志……！
C03_EV1110_00070_BAYO	我一定會幫你報仇。\n連貞德的份一起……
C03_EV1110_00080_BOS1	喔……是被那個小女孩給煽動了嗎？\n統治者……夏娃……原型。
C03_EV1110_00090_BOS1	居然能夠找到那座島，還成功越過了世界的界線啊。
C03_EV1110_00100_BAYO	你在喃喃自語什麼呢。\n那個叫做辛裘拉利提的帥哥就是你吧？
C03_EV1110_00110_BOS1	如果你覺得是……那就是吧。
C03_EV1110_00120_BAYO	那就好辦了。\n我來把你送進地獄吧！
C03_EV1110_00130_BAYO	度·歐·伊亞·蓓優妮塔——
C03_EV1110_00140_BAYO	尼拉·達·恐歇拉·歐度·阿那那耶魯——
C03_EV1110_00150_BAYO	伊凡米斯·諾克·法范·尼斯——
C03_EV1110_00160_BAYO	阿巴巴高·德里歐·布蘭！
C03_EV1120_00010_BAYO	不知道你合不合魔界那些傢伙的胃口，\n但你可要努力滿足祂們喔。
C03_EV1120_00020_BOS1	這具身體只是個容器……想要就自便吧。
C03_EV1120_00030_BOS1	統治者·夏娃已死……這個世界馬上就會……瓦解消散。
C03_EV1120_00035_BOS1	期待與你再次相見，\n統治者·夏娃·原型。
C03_EV1120_00040_BAYO	我可不期待呢。
C03_EV1120_00050_BAYO	好了，那孩子有沒有事呢？
CHAPTER/chapter03_ta
C03_TA0010_00010_BAYO	那條魚去哪裡了呢？
C03_TA0035_00010_BAYO	居然會叫我瑟蕾希塔，\n那個路卡一定是來自我的世界沒錯。
C03_TA0035_00020_BAYO	那時在圖勒的一定也是他……
C03_TA0035_00030_BAYO	話說回來，他為什麼會在這裡？
C03_TA0040_00010_BAYO	哎呀，你居然還會那種才藝呀。
C03_TA0065_00010_BET1	不會讓你逃跑的。
C03_TA0085_00010_BET1	游得那麼悠哉，是覺得自己能夠逃掉嗎？
C03_TA0087_00010_BET1	你追我跑的遊戲已經玩膩了。\n是時候給你個痛快啦。
C03_TA0090_00010_BET1	好啦，你已經逃不了了。\n讓我來好好處罰你吧！
C03_TA0095_00010_BET1	想要逃跑也沒有用喔。\n我看中的玩具是絕對不會放手的！
C03_TA0110_00010_BET1	想把我吞下去的話，\n你該配的不是瓦礫而是大量的魚子醬吧。
CHAPTER/chapter04_ev
C04_EV2020_00010_BAYO	不能再浪費時間了呢。
C04_EVa200_00010_BOS2	這個世界的時間軸，跟你的世界完全相同。
C04_EVa200_00020_BOS2	雖然文明的科技水準相差甚大，\n但我已經確認過了2043個一樣的世界。
C04_EVa200_00030_BAYO	感謝你親切的說明啊。
C04_EVa200_00040_BOS2	話說回來，你好像經歷過穿越500年的時光旅行呢。
C04_EVa200_00050_BAYO	是呀，比起那次無聊的旅行，你能帶給我更多樂趣嗎？
C04_EVa200_00060_BAYO	你們所侍奉的將軍真是聰明又優秀呢。\n我絕不會辜負你們奮戰的決心！
C04_EV2040_00010_BET2	不要害怕！\n現在可不能裹足不前！
C04_EV2040_00020_BET2	敵人的老大就在前面。\n這裡就交給這傢伙，繼續前進吧。
C04_EV2040_00030_BET2	跟我來！！
C04_EV2045_00010_BAYO	你的主人真是厲害呢。\n對了……我能夠代替她嗎？
C04_EVa20a_00020_BAYO	那種笨拙的樣子……會讓我想起某個人呢。
C04_EVa20a_00030_GIRL	好暗喔……
C04_EVa20a_00040_GIRL	好窄喔……
C04_EVa20a_00050_GIRL	好可怕喔！！
C04_EVa20a_00060_GIRL	啊、嗨，蓓優妮塔。看來你平安無事。\n我正要把礙事的——
C04_EVa242_00010_GIRL	來啊來啊！
C04_EVa242_00020_GIRL	耶——！
C04_EVa242_00030_GIRL	太好了！
C04_EV2050_00010_GIRL	對了——
C04_EV2050_00020_GIRL	我本來還擔心，\n你是不是被拋到多重宇宙之間的狹縫呢。
C04_EV2050_00030_GIRL	也許你以為自己救了我，\n但我可沒有陷入危機喔，該怎麼說……
C04_EV2050_00040_GIRL	其實我是在等待反擊的機會，\n也就是在找時機一擊搞定敵人啦……
C04_EV2050_00050_BAYO	令人擔心的可是你啊。
C04_EV2050_00060_BAYO	第一堂課。\n疏忽大意會要命的，小貓咪要記好唷。
C04_EV2050_00070_GIRL	不、不是說過不要那樣叫我嗎！
C04_EV2050_00080_GIRL	話說回來……你拿到那個了嗎？
C04_EV2050_00095_GIRL	等、等等等等！？
C04_EV2050_00090_GIRL	呼……「混沌的齒輪」真的存在啊。
C04_EV2050_00100_GIRL	如果假設是正確的，只要蒐集五個「混沌的齒輪」，\n再得到西格魯茲博士的協助，就能前往阿爾法宇宙……
C04_EV2050_00105_GIRL	呃……等……
C04_EV2050_00110_BAYO	雖然我不知道這東西是不是那麼重要，\n總之先由我收著吧。
C04_EV2050_00120_BAYO	要是讓你拿著，一定很危險啊，小貓咪。
C04_EV2050_00130_GIRL	唔——別讓我說這麼多次啊。
C04_EV2050_00140_GIRL	我的名字是薇歐拉！\nV、I、O、L、fucking A，薇歐拉！
C04_EV2050_00160_LUKA	小妹妹，你很生氣吧。
C04_EV2050_00170_LUKA	但是，如果你希望那傢伙用名字來稱呼你，\n就先讓自己能夠獨當一面吧。
CHAPTER/chapter04_ta
C04_TA0001_00010_BAYO	好了，那孩子在哪裡呢？？
C04_TA0001_00020_BAYO	要是沒有在哭就好了……
C04_TA0005_00010_BAYO	哎呀，我的魔力沒辦法滿足你嗎？
C04_TA0007_00010_BAYO	這次會招待我去什麼樣的世界呢？
C04_TA0020_00010_BAYO	對你們來說太危險了，\n我來代替你們跟它交手吧。
C04_TA0035_00010_BAYO	真是品味很差的大傢伙呢。
C04_TA0040_00010_BAYO	能聽見某種聲音呢。\n怎麼回事？
C04_TA0050_00010_GIRL	可不是越巨大就越強！\n我一個人就可以打倒你！
C04_TA0090_00010_BAYO	你剛剛是怎麼回事？\n該不會——
C04_TA0090_00020_GIRL	咦？
C04_TA0090_00030_GIRL	你、你可不要誤會。\n我才不怕又黑又窄的地方呢，你有意見嗎！？
C04_TA0090_00040_GIRL	別管那些了，現在要集中精神戰鬥！
C04_TA0070_00010_CSL1	
C04_TA0080_00010_CSL2	
C04_TA0090_00010_CSL3	
C04_TA0100_00010_CSL4	
C04_TA0120_00110_BAYO	我會讓你後悔，\n剛剛沒有乖乖倒下。
C04_TA0140_00010_BAYO	原來你們的根連在一起啊。
C04_TA0150_00010_BAYO	要是把你們同時踩扁，還能夠這麼有精神嗎？
CHAPTER/chapter05_ev
C05_EV2055_00010_GIRL	路卡……？
C05_EV2055_00020_LUKA	沒錯，我的名字就叫L、U、K、A……
C05_EV2055_00030_LUKA	哎呀，我們已經互相介紹過了嗎？\n這位活潑的小妹妹。
C05_EV2055_00040_GIRL	咦？那個——不……
C05_EV2055_00045_LUKA	純血的證明……？
C05_EV2055_00050_LUKA	你是……
C05_EV2055_00060_LUKA	好啦，我該走了。\n得去找那聲音的源頭……
C05_EV2055_00070_LUKA	再會啦，小姐們。
C05_EV2055_00070_BAYO	小貓咪。\n你能不能幫我跟著那個男人？
C05_EV2055_00080_GIRL	咦！？我去嗎？一個人？
C05_EV2055_00090_BAYO	第二堂課。
C05_EV2055_00100_BAYO	你必須學會為了他人而戰。\n那個男人可是絕佳的教材呢。
C05_EV2055_00110_BAYO	而且……
C05_EV2055_00120_GIRL	而且？
C05_EV2055_00130_BAYO	總之這之後就……拜託你了唷。
C05_EV2055_00140_GIRL	等、等等！
C05_EVa226_00010_GIRL	咦、等、等等，怎、怎、怎麼會！？騙人的吧！！
C05_EVa227_00010_GIRL	唉——又熱又濕，糟透了！
C05_EVa227_00020_GIRL	糟糕……\n呼……要快點找到路卡才行！
C05_EVa227_00030_GIRL	別礙事！
C05_EV2060_00010_GIRL	路卡？你在那裡嗎？
C05_EV2060_00030_GIRL	剛才那是……！？
C05_EV2060_00040_GIRL	別阻礙我！\n混蛋……放馬過來！
C05_EVa228_00005_GIRL	永別了。
C05_EVa228_00010_GIRL	啊，糟糕，我好不容易快追上他了……嘖！
CHAPTER/chapter05_ta
C05_TA0110_00005_GIRL	混蛋，這也太慘了吧。
C05_TA0110_00010_GIRL	可惡的辛裘拉利提！
C05_TA0110_00020_GIRL	路卡他應該還好吧……
C05_TA0120_00010_GIRL	等等，路卡！
C05_TA0130_00010_GIRL	喂，拜託你等我一下吧！
C05_TA0140_00010_GIRL	喂——我不是叫你等我嗎！\n不行啊，他好像根本沒聽到……
C05_TA0150_00010_ENZ2	哇！
C05_TA0150_00020_ENZ2	喂！你走路不長眼嗎！\n小心點！
C05_TA0150_00030_ENZ2	搞什麼，連個道歉都沒有啊！
C05_TA0150_00040_ENZ2	現在的年輕人真是的……
C05_TA0160_00010_GIRL	不妙……再這樣下去，\n可能隨時都會掉進岩漿裡變成焦炭啊。　
C05_TA0200_00010_GIRL	糟糕糟糕，我沒帶衣服換呀！
C05_TA0201_00010_GIRL	怎怎怎怎麼辦！
C05_TA0203_00010_GIRL	嗚哇！好燙燙燙燙！
CHAPTER/chapter06_ev
C06_EVa2a0_00010_BAYO	真是謝謝了。
C06_EVa2a0_00020_BET2	看來這孩子受你照顧了呢。\n我們上吧。
C06_EV2070_00020_BOS2	楔之力已是我的囊中之物。\n這個世界也即將邁向註定的命運。
C06_EV2070_00030_BOS2	已經不需要這具身體了——
C06_EV2070_00040_BOS2	雖然本來打算之後再解決你，\n但在捨棄身體前我就陪你玩玩。開始吧。
C06_EV2070_00050_BAYO	度·歐·伊亞·蓓優妮塔——
C06_EV2070_00060_BAYO	尼拉·達·恐歇拉·歐度·阿那那耶魯——
C06_EV2070_00070_BAYO	塔布斯·謝·巴巴隆·卓那克·蕭菲·巴爾札格——
C06_EV2070_00075_BAYO	法范·尼斯！
C06_EV2070_00080_BAYO	那就一起來玩吧？
C06_EV2070_00090_BAYO	希望會比上次更有趣呢。
C06_EV2080_00010_BAYO	太好了呢。看來像你這種東西，\n在魔界也能勉強拿來塞塞牙縫。
C06_EV2080_00020_BOS2	我很盡興，統治者·夏娃·原型。\n這回我們就在此道別吧。
C06_EV2080_00030_BOS2	總有一天我們會正式見到面。\n所以你現在並不需要急著找我。
C06_EV2080_00040_BOS2	不過你也不會老實聽話吧。\n那麼，再會了。
C06_EV2080_00050_BAYO	那是……？
CHAPTER/chapter06_ta
C06_TA0011_00010_BAYO	這是……武將的雕像？\n放一座我的雕像也不錯吧？
C06_TA0012_00010_BAYO	沒經過我的允許就撲過來，\n真沒禮貌呢。
C06_TA0050_00010_BAYO	哎呀呀……這麼不想讓我過去啊。
C06_TA0052_00010_BAYO	美麗的塔都傷痕累累了呢。\n既然如此，我就拿來好好利用吧？
C06_TA0060_00020_BAYO	好像接近火山口了。\n難道……齒輪就在那裡？
C06_TA0070_00010_BAYO	哎呀，感謝你特地過來找我呢。\n讓我省下不少功夫。
C06_TA0080_00010_BAYO	你泡這麼熱的澡沒問題嗎？\n跟我的喜好很不合呢。
C06_TA0090_00010_BAYO	對了，我正好也認識一個\n喜歡泡熱水澡的孩子呢。
C06_TA0095_00010_NARR	統治者·夏娃啊，你不用害怕。\n死亡只不過是過程之一。
C06_TA0095_00020_NARR	無論對你或是這個世界，皆是如此。
C06_TA0095_00030_NARR	要死的是你。\n不管發生什麼事，我都會守護這個世界！
C06_TA0100_00010_BAYO	盡情吞下這些子彈吧！
C06_TA0110_00010_BET2	一切準備就緒了。\n好啦，就用這傢伙給你顏色瞧瞧！！
CHAPTER/chapter07_ev
C07_EV3000_00020_GIRL	好痛……嗚，可惡……
C07_EV3000_00030_GIRL	我這副狼狽樣……\n要是蓓優妮塔看到了，不知道會說什麼……
C07_EV3000_00040_GIRL	是剛才那隻臭野狼嗎？
C07_EV3000_00050_GIRL	我得快點找到路卡……！
C07_EV3010_00020_GIRL	可惡！\n這片沙漠是跟我有仇嗎！
C07_EV3010_00030_GIRL	唉，不過這裡到底是哪裡？
C07_EV3010_00040_GIRL	喂，真的假的！？\n小柴貓那傢伙跑去哪裡了啊！
C07_EVa302_00020_GIRL	好痛，可……惡！
C07_EVa302_00030_GIRL	已經……不行了…… 真的不行了……
C07_EVa302_00040_GIRL	我怎麼能在這種地方死掉！
C07_EVa302_00050_GIRL	小柴貓！？
C07_EVa302_00060_GIRL	過來！
C07_EVa305_00010_GIRL	真是的……你真愛給人……添麻煩……
C07_EVa306_00020_GIRL	我還以為……要死了……
C07_EVa306_00040_GIRL	小柴貓，謝謝你。
C07_EVa306_00050_GIRL	好啦，力氣都湧上來了。\n等著我吧，路卡！
C07_EVa304_00010_GIRL	路卡！？
C07_EV3020_00010_GIRL	路卡！你還好嗎！？
C07_EV3020_00020_LUKA	不要……不要啊！！
C07_EV3020_00030_GIRL	好險……你放心吧。
C07_EV3020_00040_GIRL	我已經收拾掉那些傢伙了。
C07_EV3020_00050_GIRL	有沒有受傷？能站起來嗎？
C07_EV3020_00070_LUKA	不要過來！
C07_EV3020_00080_LUKA	可惡……怎麼回事……頭痛得要裂開了……
C07_EV3020_00090_LUKA	又是……那股聲音……！
C07_EV3020_00100_GIRL	聲音……？
C07_EV3020_00110_LUKA	在我腦裡……一直對我說……要看清……真相……！
C07_EV3020_00120_LUKA	真……真相……只有一個……！
