LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
MiiEditor_Profile_ExitConfirm	放弃更改Mii并返回。\n\n可以吗？
MiiEditor_Profile_ExitConfirm_Cancel	不行！
MiiEditor_Profile_ExitConfirm_OK	OK
MiiEditor_ProfileCancel_ExitConfirm	放弃更改设置并返回。\n\n可以吗？
MiiEditor_ProfileCancel_ExitConfirm_Cancel	不行！
MiiEditor_ProfileCancel_ExitConfirm_OK	OK
MiiEditor_LostLove	此项更改会对恋爱关系产生影响。\n更改后，和{[c800|0502000d]}有关的\n单恋 / 恋人 / 结婚关系都将解除。\n\n确定要更改吗？
MiiEditor_LostLove_Cancel	不行！
MiiEditor_LostLove_OK	更改
MiiEditor_PartnerOther	所选择的Mii已设置\n现实世界中的配偶。\n\n要覆盖原本的设置吗？
MiiEditor_PartnerOther_Cancel	退出
MiiEditor_PartnerOther_OK	覆盖
MiiEditor_Delete_Confirm_00	须支付{color[0000]}{[640e|000100cd]}{color[ffff]}的搬家费，\n方可移除Mii。\n\n可以吗？
MiiEditor_Delete_Confirm_01	移除后将无法再次见到{[c800|0502000d]}，\n确定要移除吗？\n{size[4b00]}※Mii的持有物会消失。\n※出演过的Mii新闻即便被锁定，也可能消失。{size[6400]}
MiiEditor_Delete_Decision	{[c800|0502000d]}\n搬去其他地方了……
MiiEditor_Delete_NoMoney	钱不够
MiiEditor_Delete_Confirm_Cancel	不行！
MiiEditor_Delete_Confirm_Delete	移除
MiiEditor_Delete_Confirm_OK	OK
MiiEditor_Delete_Childcare	无法在抚养孩子期间移除。
MiiEditor_Delete_Childcare_OK	OK
MiiEditor_ChangeCancel_Trouble	目前无法更改。\n\n请在消除了Mii的烦恼后再次尝试。
MiiEditor_ChangeCancel_Trouble_OK	OK
MiiEditor_ChangeCancel_BolldRelation	{[c800|0502000d]}和{[c800|0602000d]}\n已是{[0214|01cd]}关系，无法更改。
MiiEditor_ChangeCancel_BolldRelation_OK	OK
MiiEditor_ChangeCancel_Childcare	无法在抚养孩子期间更改。
MiiEditor_ChangeCancel_Childcare_OK	OK
MiiEditor_FacePaintDelete_00	删除这个Mii的面部彩绘。\n\n可以吗？
MiiEditor_FacePaintDelete_Cancel	不行！
MiiEditor_FacePaintDelete_OK	删除
MiiEditor_FacePaintCopy_00	这个Mii的面部彩绘将被覆盖。\n\n可以吗？
MiiEditor_FacePaintCopy_Cancel	不行！
MiiEditor_FacePaintCopy_OK	OK
MiiEditor_NoGrown_00	已设置年龄，因此无法更改。
MiiEditor_NoGrown_OK	OK
MiiEditor_NoGrownSpray_00	无法在使用小孩喷雾期间更改。\n\n请使用大人喷雾使其恢复为大人。
MiiEditor_NoGrownSpray_01	无法在使用大人喷雾期间更改。\n\n请使用小孩喷雾使其恢复为小孩。
MiiEditor_EasyCompareReset_00	重置更改，\n使容貌恢复为更改前的样子。\n\n可以吗？
MiiEditor_EasyCompareReset_Cancel	不行！
MiiEditor_EasyCompareReset_OK	OK
MiiEditor_ContinueUgcDelete_00	删除后真的会消失。\n\n可以吗？
MiiEditor_ContinueUgcDelete_Cancel	不行！
MiiEditor_ContinueUgcDelete_OK	OK
MiiEditor_PartsTutorial_00	那就赶快来试着制作一下吧！
MiiEditor_Child_00	在{[c800|0502000d]}登录为居民之前\n可以进行编辑。
MiiEditor_Child_OK	OK
IslandWord_Delete_00	选中的“词汇”即将被删除。\n\n可以吗？
IslandWord_Delete_Cancel_00	不行！
IslandWord_Delete_OK_00	OK
ChildGrowth_Full_00	如果要让{[021a|0000]}入住岛屿，\n必须先让某个居民\n搬离这座岛屿。{[0004]}请从菜单的“居民列表”中\n选择要让其搬离的Mii并进行移除。
ChildGrowth_Bye_00	在岛外开始生活后，\n将不会再回到这座岛屿。\n\n可以吗？
ChildGrowth_Bye_OK_00	OK
ChildGrowth_Bye_Cancel_00	不行！
ChildGrowth_Call_00	咦？好像有人在喊你。
GroupName_ExitConfirm	放弃更改别称并返回。\n\n可以吗？
GroupName_ExitConfirm_Cancel	不行！
GroupName_ExitConfirm_OK	OK
Option_ExitConfirm	放弃更改设置并返回。\n\n可以吗？
Option_ExitConfirm_Cancel	不行！
Option_ExitConfirm_OK	OK
SetAllMii_Waiting	Mii们正在集合……
Swap_ExitConfirm	放弃交换Mii的位置并返回。\n\n可以吗？
Swap_ExitConfirm_Cancel	不行！
Swap_ExitConfirm_OK	OK
Expression_AllMii	Mii们正在变换表情……
Expression_ExitConfirm	放弃变换表情并返回。\n\n可以吗？
Expression_ExitConfirm_Cancel	不行！
Expression_ExitConfirm_OK	OK
SelectAll_Explain	要批量选择Mii吗？\n\n※将依次填补空位。
SelectAll_Explain_Cancel	退出
SelectAll_Explain_OK	OK
SelectAll_ExitConfirm	移除批量选择的Mii。\n\n可以吗？
SelectAll_ExitConfirm_Cancel	不行！
SelectAll_ExitConfirm_OK	OK
PhotoSaveError_StorageFull	未能正确保存照片。\n\n请确认主机内存的剩余空间。
PhotoSaveError_StorageFull_Plural	未能正确保存照片。\n\n请确认主机内存的剩余空间。
PhotoSaveError_FileCountLimit	未能正确保存照片。\n\n请确认相册的保存数量。
PhotoSaveError_FileCountLimit_Plural	未能正确保存照片。\n\n请确认相册的保存数量。
PhotoSaveError_Others	未能正确保存照片。\n\n请确认相册的保存数量和\n主机内存的剩余空间。
PhotoSaveError_Others_Plural	未能正确保存照片。\n\n请确认相册的保存数量和\n主机内存的剩余空间。
PhotoSaveError_OK	OK
PhotoStudio_CompleteNotice	照相馆的所有背景都已添加！\n\n今后也请尽情享受摄影的乐趣。
LocalNetwork_TopEnd	将结束本地联机。\n\n可以吗？
LocalNetwork_TopEnd_Cancel	不行！
LocalNetwork_TopEnd_OK	OK
LocalNetwork_TopError	发生连接错误。
LocalNetwork_TopError_OK	OK
LocalNetwork_TopConnection	已连接{color[0000]}{[0209|00cd]}{color[ffff]}。
LocalNetwork_TopConnection_OK	OK
LocalNetwork_TopDisconnection_00	将断开连接。\n\n可以吗？
LocalNetwork_TopDisconnection_00_Cancel	不行！
LocalNetwork_TopDisconnection_00_OK	OK
LocalNetwork_TopDisconnection_01	连接已断开。
LocalNetwork_TopDisconnection_01_OK	OK
LocalNetwork_MiiOther	无法发送从他人处获得的内容，\n以及包含从他人处获得元素的内容。
LocalNetwork_MiiOther_OK	OK
LocalNetwork_MiiSend	要发送这个Mii吗？\n\n※发送后，Mii不会消失。
LocalNetwork_MiiSend_Cancel	退出
LocalNetwork_MiiSend_OK	发送
LocalNetwork_MiiRemoveOtherUgc	发送时会去除\n包含他人制作内容的面部彩绘和服装。
LocalNetwork_MiiRemoveOtherUgc_OK	OK
LocalNetwork_MiiMax	岛上居民已满，\n无法接收。
LocalNetwork_MiiMax_OK	OK
LocalNetwork_UgcOther	无法发送\n他人制作的物品，\n或包含他人制作内容的物品。
LocalNetwork_UgcOther_OK	OK
LocalNetwork_UgcNgAtelier	物品工坊尚未开张，\n无法接收。
LocalNetwork_UgcNgAtelier_OK	OK
LocalNetwork_UgcSend	要发送\n{color[0000]}{[021e|0000]}{color[ffff]}吗？\n\n※发送的是“设计图复本”，\n物品本身不会从持有物或物品工坊中消失。
LocalNetwork_UgcSend_Cancel	退出
LocalNetwork_UgcSend_OK	发送
LocalNetwork_UgcMax	“{color[0000]}{[0208|00cd]}{color[ffff]}”已满，\n无法接收。
LocalNetwork_UgcMax_OK	OK
LocalNetwork_UgcMax_MiiFailure	“{color[0000]}{[0208|00cd]}{color[ffff]}”已满，\n无法接收Mii。
LocalNetwork_UgcMax_MiiFailure_OK	OK
LocalNetwork_NgWord	由于文本中包含了\n数字或显示受限的字符串，\n可能无法按原样发送给对方。\n\n要直接发送吗？
LocalNetwork_NgWord_Cancel	退出
LocalNetwork_NgWord_OK	发送
LocalNetwork_SendFailure_00	对方没有接收……
LocalNetwork_SendFailure_00_OK	OK
LocalNetwork_SendFailure_01	没有接收。
LocalNetwork_SendFailure_01_OK	OK
LocalNetwork_SendSuccessMii_00	已发送{[c800|0502000d]}。
LocalNetwork_SendSuccessMii_00_OK	OK
LocalNetwork_SendSuccessMii_01	已接收{[c800|0502000d]}。
LocalNetwork_SendSuccessUgc_00	已发送“{[021e|0000]}的\n设计图”。
LocalNetwork_SendSuccessUgc_00_OK	OK
LocalNetwork_SendSuccessUgc_01	已接收“{[021e|0000]}的\n设计图”。
LocalNetwork_Sending	正在发送……
LocalNetwork_Receiving	正在接收……
LocalNetwork_ThirdPersonWarning_00	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_01	The Mii you received didn't have\nthird-person pronouns set, so they've\nbeen automatically adjusted based\non the Mii's gender setting. This may\nmean the pronouns need adjustment.{[0004]}The following third-person pronouns\nare applied by default:\nMale: he/him\nFemale: she/her\nNonbinary: he/him{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_02	The Mii you received used they/them\nthird-person pronouns in English.\nHowever, corresponding terms are not\navailable in your set language.{[0004]}The third-person pronouns for the Mii\nyou received will be replaced with\nhe/him pronouns instead.{[0004]}If this setting needs to be adjusted for\nthe Mii before continuing to play the\ngame, please select the Mii from\n居民列表 and adjust their pronouns\nas needed.
LocalNetwork_ThirdPersonWarning_OK	OK
LocalNetwork_LanguageWarning	由于联机对象使用了不同的语言，\n接收的Mii的名字和物品名等\n将无法正确显示。\n\n请重新设置。
LocalNetwork_LanguageWarning_OK	OK
LocalNetwork_FirstReceiveMii	注意：\n通过本地联机接收的Mii\n无法再发送给他人。
LocalNetwork_FirstReceiveMii_OK	OK
LocalNetwork_FirstReceiveUgc	注意：\n通过本地联机接收的“物品设计图”\n无法再发送给他人。
LocalNetwork_FirstReceiveUgc_OK	OK
LocalNetwork_FirstReceiveItem	已接收的物品可以在商店中购买。
LocalNetwork_FirstReceiveItem_OK	OK
LocalNetwork_MiiCopy	如果参考此Mii来制作，\n将无法通过本地联机发送给他人。\n\n可以吗？
LocalNetwork_MiiCopy_Cancel	放弃
LocalNetwork_MiiCopy_OK	OK
LocalNetwork_UgcCopy	如果使用此基底，\n将无法通过本地联机发送给他人。\n\n可以吗？
LocalNetwork_UgcCopy_Cancel	放弃
LocalNetwork_UgcCopy_OK	OK
LocalNetwork_StampCopy	如果使用此印章，\n将无法通过本地联机发送给他人。\n\n可以吗？
LocalNetwork_StampCopy_Cancel	放弃
LocalNetwork_StampCopy_OK	OK
LocalNetwork_EnterCheck_00	由于家长监护设置中\n“与他人自由交流”受到限制，\n无法进行联机。
LocalNetwork_EnterCheck_01	为了让大家都能愉快地游玩，\n请不要发布含有以下内容的信息。\n过激的内容/侵害他人权利的内容/\n令人不快的内容。{[0004]}请不要有令其他玩家感觉不快的行为。\n请在游玩时顾及其他玩家的感受。
LocalNetwork_EnterCheck_02	ATTENTION\nThe Community Guidelines apply to\nin-game behavior and shared\ncontent and can be found on\nNintendo's website.{[0004]}Please be considerate to your fellow\nplayers.
LocalNetwork_EnterCheck_03	由于岛屿名称中包含了\n数字或显示受限的字符串，\n可能无法按原样发送给对方。\n\n要直接开始本地联机吗？
LocalNetwork_EnterCheck_03_OK	开始
LocalNetwork_EnterCheck_03_NG	退出
LocalNetwork_EnterCheck_04	本地联机开始前将进行保存。\n\n可以吗？
LocalNetwork_EnterCheck_04_OK	OK
LocalNetwork_EnterCheck_04_NG	退出
LocalNetwork_EnterCheck_05	保存完毕。\n\n即将开始本地联机。
Ugc_Max	无法添加更多。
BootChangeLanguage_A00	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\n居民列表 and set their pronouns\nto the appropriate option.
BootChangeLanguage_A01	Your language setting has changed to\none that uses third-person pronouns.{[0004]}As the previous language did not use\nthird-person pronouns, pronouns have\nbeen automatically assigned based on\neach Mii's gender setting. This may\nmean some Miis need adjustments.{[0004]}The following third-person pronouns\nhave been applied based on gender:\nMale: he/him\nFemale: she/her\nNonbinary: they/them{[0004]}If this setting needs to be adjusted for\nany Miis before continuing to play the\ngame, please select the Mii from\n居民列表 and set their pronouns\nto the appropriate option.
BootDifferentFont	由于语言已更改，\n在软件内输入的内容\n将无法正确显示。\n（包含Mii的名字和物品名称等。）\n请重新设置。{[0004]}※设置回原先的语言，输入的内容即可复原。
BootCheckPenalty_00	主机上设置的时间\n与上次游玩时不同。{[0004]}如果以现状开始游玩，\n有可能出现软件内时间改变，\n商店中陈列的商品\n暂时不替换的情况。{[0004]}要以现状开始游玩吗？
BootCheckPenalty_00_OK	是
BootCheckPenalty_00_NG	否
BootCheckPenalty_00_Next	OK
BootCheckPenalty_01	请按 ，\n在HOME菜单的“设置”中\n修改成正确的时间。
OnlySpaceInput	请输入非空格文字。
OnlySpaceInput_OK	OK
LongMainInput	所输入文字的“读法”过长，\n无法登录。\n\n所输入文字本身可以按现状登录，\n但需要缩短其“读法”。
LongMainInput_OK	OK
LongReadInput	“读法”过长。\n\n需要缩短“读法”。
LongReadInput_OK	OK
CantReadMainInput	无法朗读所输入文字。\n\n所输入文字本身可以按现状登录，\n但请为其输入“读法”。
CantReadMainInput_OK	OK
CantReadHowToCallInput	无法朗读“读法”。\n\n请输入可以朗读的文字。
CantReadHowToCallInput_OK	OK
SaveDataSpaceCheck	主机内存的空间已满。\n\n请使用以下任意方法空出空间：\n· 删除目前制作的物品\n· 前往主机设置的“数据管理”清理数据
SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck	由于主机内存的空间已满，\n无法接收物品。\n请使用以下任意方法空出空间：\n· 删除目前制作的物品\n· 前往主机设置的“数据管理”清理数据
LocakNetwork_SaveDataSpaceCheck_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMii	由于主机内存的空间已满，\n无法接收Mii穿戴着的部分服装。\n请使用以下任意方法空出空间：\n· 删除目前制作的物品\n· 前往主机设置的“数据管理”清理数据
LocakNetwork_SaveDataSpaceCheck_SendMii_OK	OK
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure	未能接收Mii……
LocakNetwork_SaveDataSpaceCheck_SendMiiFailure_OK	OK
SaveDataWriteError	由于数据损坏，\n已中断保存。\n\n请按  返回HOME菜单，\n关闭软件。
SaveDataReadError	由于保存数据损坏，\n无法开始软件。\n\n请按  返回HOME菜单，\n关闭软件。
LocalNetwork_MiiClothNgAtelier	由于物品工坊尚未开业，\n存在无法接收的服装。
LocalNetwork_MiiClothNgAtelier_OK	OK
TroubleFriend_UgcWord	请教导一下\n该聊些什么内容吧。\n\n教一些愉快的话题应该很不错。
ImportTrialSave_00	发现了《Tomodachi Life 朋友收集 梦想生活》\n{color[0000]}体验版的保存数据{color[ffff]}。{[0004]}要继承体验版的保存数据吗？\n\n{color[0000]}一旦开始游玩软件，\n体验版的保存数据就无法再继承。{color[ffff]}
ImportTrialSave_00_OK	继承
ImportTrialSave_00_NG	不继承
ImportTrialSave_01	即将继承体验版的保存数据。\n\n确定可以吗？
ImportTrialSave_01_OK	继承
ImportTrialSave_01_NG	返回
ImportTrialSave_02	如果就这样开始游玩软件，\n将无法继承体验版的保存数据。\n确定可以吗？\n{color[0000]}删除正式版的保存数据后，\n便可以继承。{color[ffff]}
ImportTrialSave_02_OK	不继承
ImportTrialSave_02_NG	返回
ImportTrialSave_03	正在复制保存数据……
ImportTrialSave_04	已继承体验版的保存数据。
ImportTrialSave_04_OK	OK
ImportTrialSave_05	《Tomodachi Life 朋友收集 梦想生活》\n{color[0000]}体验版的保存数据{color[ffff]}已损坏。\n\n将在不继承保存数据的状态下\n开始游玩软件。
ImportTrialSave_05_OK	OK
LayoutMsg\Common_FadeWipe_00.msbt
MiiMove	去找{[c800|0502000d]}……
Into_MapObject	进入{[0218|0000]}……
Into_MiiHouse	进入屋内……
GetOut_MapObject	离开{[0218|0000]}……
GetOut_MiiHouse	离开屋子……
LayoutMsg\Common_Footer_00.msbt
Guide_PickUp_LongPressA	长按拎起
Guide_OutHome	带出屋子
Reduce	减少数量
Sort_Arrival	按进货时间排序
Sort_PriceHighToLow	按价格从高到底排序
Sort_PriceLowToHigh	按价格从低到高排序
Sort_Dictionary	按名称排序
Sort_Genre	按类别排序
Sort_StyleUtoF	
Sort_StyleFtoU	
Sort_StockNumDec	按持有数排序
Sort_RecentObtained	按获得时间排序
Sort_RecentCreated	按更改时间排序
PresentAsCoordinate	组成穿搭赠送
TopsIn	塞上装
TopsOut	不塞上装
Accident_Drop	松手
Accident_MoveUpDown	上下移动
Accident_LongPressA_Charge	长按蓄力
Accident_ReleaseA_Poke	松开戳Mii
Accident_Stroke	揉搓
Bungee_Push	推一把
SpinningTop_MiiL	转动{[c800|0502000d]}
SpinningTop_MiiR	转动{[c800|0602000d]}
RemoveMii	移除
SwapMii	交换位置
SelectAll	批量选择
Camera	移动视角
FinishCheck	结束查看
FerrisWheelCamera	移动视角
ResidentList_ManualSort	换位置
ResidentList_DecidePos	放这里
ResidentList_MiiEdit	编辑Mii
ResidentList_RelationshipsRanking	人际关系排名
RelationshipsRanking_Back	返回{[c800|0502010d]}的排名
LayoutMsg\Common_InlineKeyboard_00.msbt
HowToRead_Header	{[0208|00cd]}的“{color[0000]}读法{color[ffff]}”是？
HowToRead_Header_Long	{[020a|00cd]}的“{color[0000]}读法{color[ffff]}”是？
UsageExample_ObjectNeutral	"a {color[0000]}water bottle{color[ffff]}," "a {color[0000]}spoon{color[ffff]}," "an {color[0000]}envelope{color[ffff]}"
UsageExample_ObjectPositive	"a {color[0000]}teddy bear{color[ffff]}," "a {color[0000]}lucky coin{color[ffff]}," "an {color[0000]}apple{color[ffff]}"
