MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_COMMENT_森のほこら: 原先是遠古時代\n建造的某種建築物所\n遺留下的遺跡，\n但人們利用這個空間，\n改造成了祭祀\n女神的祭壇。
MID_GMAP_COMMENT_森の北: 位於大森林地帶\n北部的平原。\n商路仍綿延不斷。
MID_GMAP_COMMENT_水門: 建造在分隔陸地的峽谷\n像是要堵住出口\n般的超巨大建築物。\n儲存的水由水閘\n調整放水流量後，\n會流向海洋或運河。
MID_GMAP_COMMENT_水門内部: 建造在分隔陸地的峽谷\n像是要堵住出口\n般的超巨大建築物。\n儲存的水由水閘\n調整放水流量後，\n會流向海洋或運河。
MID_GMAP_COMMENT_死人の沼: 有著一望無際的毒沼，\n阻擋他人來訪的\n死亡大地。\n周遭飄散著刺鼻的\n腐臭味。
MID_GMAP_COMMENT_沼の墓地: 遭到毒沼侵蝕的\n噁心墓地。\n據說會有恐怖的\n魔物出沒。
MID_GMAP_COMMENT_ドルクの砦: 建造在毒沼之中，\n氣氛詭異的堡壘。\n是據說能召喚死龍的\n多瑪教團祈禱師――\n多爾科的根據地。
MID_GMAP_COMMENT_ドルクの砦内部: 建造在毒沼之中，\n氣氛詭異的堡壘。\n是據說能召喚死龍的\n多瑪教團祈禱師――\n多爾科的根據地。
MID_GMAP_COMMENT_賢者の里: 一座隱密的村落，\n位於利蓋爾東北部的\n遼闊的迷失森林裡。\n傳說有偉大的賢者\n就在這裡。
MID_GMAP_COMMENT_ドーマの門: 冠上神之名的巨大堡壘，\n建造位置簡直就像是\n要堵住穿越了\n利蓋爾帝國東邊領地的\n街道。
MID_GMAP_COMMENT_ドーマの沼: 位於利蓋爾帝國北邊，\n冠上了\n神之名的\n遼闊毒沼。
MID_GMAP_COMMENT_ドーマの塔: 多瑪教團的根據地。\n為了某個目的，\n在古代建造而成、\n冠上了神之名的\n巨塔。
MID_GMAP_COMMENT_国境: 索菲亞王國領地與\n利蓋爾帝國領地的\n國界。\n利蓋爾側後方有一大片\n蒼鬱的針葉樹林。
MID_GMAP_COMMENT_リゲルの森: 覆蓋整個平原，\n蒼鬱的針葉樹林。\n森林裡總是光線昏暗，\n因此利蓋爾的居民又\n稱其為黑暗森林。
MID_GMAP_COMMENT_恐山: 這片陸地上最高的山，\n整個瓦倫西亞都可以\n一覽無遺。\n散發出非比尋常的氣氛，\n彷彿在\n阻擋活人進入。
MID_GMAP_COMMENT_恐山のほこら: 建造在恐山裡，\n謎團重重的祠堂。\n路好像通到\n很深的地方，\n據說有無數的寶藏\n沉睡在那裡。
MID_GMAP_COMMENT_ヌイババ館: 建造在恐山山頂，\n多瑪教團妖術師\n魯伊巴巴的根據地。
MID_GMAP_COMMENT_ヌイババ館内部: 建造在恐山山頂，\n多瑪教團妖術師\n魯伊巴巴的根據地。
MID_GMAP_COMMENT_リゲル平野: 在地形起伏劇烈的\n利蓋爾帝國領地內，\n數量稀少的平原。
MID_GMAP_COMMENT_リゲルの村: 利蓋爾領地內的村莊，\n盛產葡萄。\n村民利用這塊土地的\n微涼氣候和丘陵地帶，\n開拓出遼闊的\n葡萄田。
MID_GMAP_COMMENT_リゲルの谷: 在龍之噴火口山腳下，\n有點平坦的土地。
MID_GMAP_COMMENT_竜の火口: 位於利蓋爾帝國西部\n領地上的火山地帶。\n也被稱為受詛咒的龍山，\n使得當地人畏懼\n這個地方。
MID_GMAP_COMMENT_リゲルの滝: 位於利蓋爾帝國領土內，\n堪稱瓦倫西亞陸地上\n最大的瀑布。\n瀑布的高低落差很大，\n水量也極多。
MID_GMAP_COMMENT_秘密のほこら: 像是要藏起來似地，\n建在利蓋爾瀑布背面，\n位於謎團重重之處，\n鮮少有人知道\n這個地方。
MID_GMAP_COMMENT_要塞: 建造在半山腰上，\n難攻不下，\n非常牢固的要塞。\n不論是誰都不曾攻陷，\n是利蓋爾城堡的\n防衛要地。
MID_GMAP_COMMENT_リゲル城: 利用石山地形建造的\n城堡。\n就像是一座堡壘，\n建得樸實又具有實戰性，\n整體氣氛和優美的\n索菲亞城堡形成對比。
MID_GMAP_COMMENT_リゲル城内部: 利用石山地形建造的\n城堡。\n就像是一座堡壘，\n建得樸實又具有實戰性，\n整體氣氛和優美的\n索菲亞城堡形成對比。
MID_GMAP_COMMENT_アカネイア航路１: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_アカネイア航路２: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_アカネイア航路３: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_アカネイア航路４: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_アカネイア航路５: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_アカネイア航路６: 為了前往據說在\n瓦倫西亞陸地東邊的\n阿卡奈亞陸地，\n而要經過的航路。
MID_GMAP_COMMENT_フリアの港: 人們聚集到對本領很有\n自信的英雄富麗雅身邊，\n因而建成的邊境港口。
MID_GMAP_COMMENT_テーベの地下迷宮: 過去魔道之力遍布的\n都市的巨大遺骸。\n經歷數百年的\n長久時光，\n遺骸被埋在\n瑪魔德特沙漠下，\n依然沉睡著。
MID_GMAP_SUB_思い出の味: 回憶裡的味道
MID_GMAP_SUB_H_思い出の味: 接受了充滿物慾的老人的委託，\n前往尋找過去\n在這座村子裡釀造的\n「拉姆的葡萄酒」。
MID_GMAP_SUB_チーズの帝王: 乳酪的帝王
MID_GMAP_SUB_H_チーズの帝王: 接受了熱愛乳酪的貴族的委託，\n要從陸地各處找來\n各式各樣的起司。
MID_GMAP_SUB_甘いお菓子づくり: 製作甜點
MID_GMAP_SUB_H_甘いお菓子づくり: 接受了酒館老闆娘的委託，\n替她蒐集「麵粉」、\n「蜂蜜」、「奶油」等，\n為孩子們烤餅乾的材料。
MID_GMAP_SUB_おいしいひもの: 好吃的魚乾
MID_GMAP_SUB_H_おいしいひもの: 接受了熱愛魚類的大叔的委託，\n替他帶來在山裡很難獲得的\n白帶魚乾。
MID_GMAP_SUB_美味なるものには: 帶來美味的食料
MID_GMAP_SUB_H_美味なるものには: 接受了貴族的廚師的委託，\n為了做出世上最好吃的\n魚料理讓主人滿意，\n替他帶來「達剛魚片」。
MID_GMAP_SUB_神の飲み物: 神的飲料
MID_GMAP_SUB_H_神の飲み物: 接受了大魔道士的條件，\n拿「藥草糖漿」、\n「石像鬼的耳朵」、「骷髏油」和\n「多瑪的青苔」等材料來，\n他就會幫忙製作瓊漿玉液。
MID_GMAP_SUB_足りない歯車: 有缺漏的齒輪
MID_GMAP_SUB_H_足りない歯車: 接受了神經質的修女的委託，\n蒐集分散在陸地各處的\n「小齒輪」，\n修復美拉齒輪原本的功能。
MID_GMAP_SUB_逸品の油: 絕品的油
MID_GMAP_SUB_H_逸品の油: 接受了水閘守衛的委託，\n為了保養設備，\n替他帶來「骷髏油」，\n並學會了「骷髏油」的採集方法。
MID_GMAP_SUB_サンゴを集めてくれ: 採集珊瑚來吧
MID_GMAP_SUB_H_サンゴを集めてくれ: 大商人阿萊西奧提出\n很划算的買賣，\n如果持有「珊瑚碎片」，\n他就會高價收購。
MID_GMAP_SUB_価値ある指輪: 有價值的戒指
MID_GMAP_SUB_H_価値ある指輪: 大商人阿萊西奧提出\n很划算的買賣，\n他可以便宜出讓\n「珊瑚戒指」。
MID_GMAP_SUB_死の商人: 死之商人
MID_GMAP_SUB_H_死の商人: 大商人阿萊西奧提出\n很划算的買賣，\n如果持有「鋼槍」，\n他就會高價收購。
MID_GMAP_SUB_酒場の裏メニュー: 酒館的秘密菜單
MID_GMAP_SUB_H_酒場の裏メニュー: 只要給酒館老闆\n３根「仙靈草」，\n他就會幫忙調配珍貴的糖漿。
MID_GMAP_SUB_最強の盾: 最強的盾
MID_GMAP_SUB_H_最強の盾: 這座村裡的鐵匠提出條件，\n只要蒐集４片「龍的鱗片」，\n就會幫忙打造以最強而\n聞名的「龍盾」。
MID_GMAP_SUB_王家の秘宝: 王族的秘寶
MID_GMAP_SUB_H_王家の秘宝: 接受了學者風骨的男人的委託，\n替他去解放軍據點角落，\n從埋葬王族的區域\n拿回王族的寶物，\n好讓他研究。
MID_GMAP_SUB_輝きのデリカ: 光輝的美食
MID_GMAP_SUB_H_輝きのデリカ: 學者風骨的男人提出條件，\n只要準備「多瑪的青苔」、\n「發酵乳」和「柳橙」，\n他就會做出仙饌。
MID_GMAP_SUB_修道女の落とし物: 修女的遺失物
MID_GMAP_SUB_H_修道女の落とし物: 接受了狼狽的修女的委託，\n找回她弄掉到水溝裡面，\n不知被沖到美拉神殿何處的「銀盤」。
MID_GMAP_SUB_ソフィア王に静寂を: 還索菲亞國王寧靜
MID_GMAP_SUB_H_ソフィア王に静寂を: 接受陰森的隱士的委託，\n為了歷代索菲亞國王的安眠，\n幫忙討伐出現在解放軍據點裡的\n魔物。
MID_GMAP_SUB_盗賊をこらしめて: 懲戒盜賊
MID_GMAP_SUB_H_盗賊をこらしめて: 接受發怒的女性的委託，\n幫忙打倒２０個附近的盜賊，\n以玆報復。
MID_GMAP_SUB_死者にやすらぎを: 還給死者安寧
MID_GMAP_SUB_H_死者にやすらぎを: 接受鬱鬱寡歡的隱士的委託，\n幫忙打倒２０隻出現在\n諾瓦墓地裡的殭屍，\n讓他們回歸安寧的睡眠。
MID_GMAP_SUB_石の耳: 石耳朵
MID_GMAP_SUB_H_石の耳: 接受藥物學者的委託，\n幫忙蒐集３個「石像鬼的耳朵」，\n當作他自己的研究材料，\n並學會了「石像鬼的耳朵」的\n採集方法。
MID_GMAP_SUB_家宝をとりもどせ　ドゼー編: 奪回傳家寶　多哲篇
MID_GMAP_SUB_H_家宝をとりもどせ　ドゼー編: 接受了自稱利昂家當家的貴族的委託，\n幫忙奪回遭到多哲沒收的\n傳家寶之盾。
MID_GMAP_SUB_家宝をとりもどせ　ギース編: 奪回傳家寶　吉斯篇
MID_GMAP_SUB_H_家宝をとりもどせ　ギース編: 接受了自稱福格家當家的\n貴族的委託，\n幫忙從吉斯那裡奪回\n被盜賊偷走的傳家寶之盾。
MID_GMAP_SUB_連れ去られた少女: 遭人擄走的少女
MID_GMAP_SUB_H_連れ去られた少女: 接受村裡大叔的委託，\n幫忙救出遭石像鬼\n擄到森林祠堂裡的\n他女兒。
MID_GMAP_SUB_囚人の行方: 囚犯的去向
MID_GMAP_SUB_H_囚人の行方: 接受商人之妻的委託，\n幫忙到森林祠堂搜索，\n找出她失蹤的丈夫。
MID_GMAP_SUB_息子を探して: 幫忙找兒子
MID_GMAP_SUB_H_息子を探して: 接受疲憊的婦人的委託，\n幫忙尋找去龍之祠堂的\n復活水井取水的兒子。
MID_GMAP_SUB_父親の思い出: 父親的回憶
MID_GMAP_SUB_H_父親の思い出: 從旅行青年口中，聽說他\n失蹤的父親的資訊。\n聽說是不論何時都戴著紅色三角帽，\n打扮時髦的人……
MID_GMAP_SUB_カワイイものほしいな: 想要可愛的東西
MID_GMAP_SUB_H_カワイイものほしいな: 從森林祠堂救出的女孩子，\n想要一個可愛的東西。\n找個可愛的東西給她，\n她說不定會很高興。
MID_GMAP_SUB_伝説の秘薬: 傳說中的秘藥
MID_GMAP_SUB_H_伝説の秘薬: 走投無路的婦人為了\n治療女兒的病，\n想要「藥草糖漿」。
MID_GMAP_SUB_奪われた仕事道具: 遭人奪走的生財工具
MID_GMAP_SUB_H_奪われた仕事道具: 純樸的樵夫被盜賊\n搶走了用來工作的斧頭，\n正一籌莫展。
MID_GMAP_SUB_奪われた偶像: 遭人搶走的雕像
MID_GMAP_SUB_H_奪われた偶像: 純樸的樵夫欣喜地跑來炫耀\n自己親手製作的多瑪雕像，\n據他所言，只要帶著它，\n狀況就會比平常好，然而……
MID_GMAP_SUB_出られなくなった男: 出不來的男人
MID_GMAP_SUB_H_出られなくなった男: 在祠堂裡面的虛弱的男人，\n要求給他一些食物，\n但好像非肉類不可。
MID_GMAP_SUB_天上の釣り糸: 天上的釣線
MID_GMAP_SUB_H_天上の釣り糸: 想要達剛的肉塊而向\n技術高超的漁夫請託，\n對方則說只要給他透明細線，\n他就能釣起達剛。
MID_GMAP_SUB_遙かなる遠き大地: 遙遠的大地
MID_GMAP_SUB_H_遙かなる遠き大地: 接受了異國商人的委託，\n護衛他抵達位於這塊陸地東邊、\n前往阿卡奈亞陸地的航路。
