MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明的道具
MIID_聖なる指輪: 神聖戒指
MIID_天使の指輪: 天使戒指
MIID_速さの指輪: 速度戒指
MIID_魔道の指輪: 魔道戒指
MIID_祈りの指輪: 祈禱戒指
MIID_奥義書: 魔法書
MIID_サンゴの指輪: 珊瑚戒指
MIID_ミラの指輪: 美拉戒指
MIID_怨嗟の指輪: 怨念戒指
MIID_悪魔の指輪: 惡魔戒指
MIID_形見の指輪: 遺物戒指
MIID_小さな歯車: 小齒輪
MIID_ミラの歯車(アルム): 美拉齒輪
MIID_ミラの歯車(セリカ): 美拉齒輪
MIID_ミラの歯車: 美拉齒輪
MIID_お土産の人形: 紀念品人偶
MIID_ガーゴイルの耳: 石像鬼的耳朵
MIID_銀の盆: 銀盤
MIID_牢獄の鍵: 監牢鑰匙
MIID_透明なひげ: 透明鬚
MIID_スケルトン油: 骷髏油
MIID_竜のうろこ: 龍的鱗片
MIID_リマ家の腕輪: 利馬一族的手環
MIID_息子の日記: 兒子的日記
MIID_木彫りのクマ: 木雕熊
MIID_木彫りのミラ: 木雕美拉
MIID_木彫りのドーマ: 木雕多瑪
MIID_サンゴのかけら: 珊瑚碎片
MIID_黒真珠: 黑珍珠
MIID_扉の鍵: 門的鑰匙
MIID_牢屋の鍵: 牢房的鑰匙
MIID_赤い三角帽子: 紅色三角帽
MIID_怪しい仮面: 可疑的面具
MIID_ドーマの兜: 多瑪的頭盔
MIID_ミラの髪飾り: 美拉的髮飾
MIID_エール: 麥酒
MIID_のみかけのエール: 喝剩的麥酒
MIID_スープ: 湯
MIID_さめたスープ: 冷掉的湯
MIID_葡萄酒: 葡萄酒
MIID_にんにく: 大蒜
MIID_ラムの葡萄酒: 拉姆的葡萄酒
MIID_飲み水: 飲用水
MIID_ドーマのコケ: 多瑪的青苔
MIID_ニシン: 鯡魚
MIID_ダゴンのきりみ: 達剛魚片
MIID_発酵乳: 發酵乳
MIID_薬草のリキュール: 藥草糖漿
MIID_オレンジ: 柳橙
MIID_異国のスパイス: 異國香料
MIID_ソーセージ: 香腸
MIID_タテウオのひもの: 白帶魚乾
MIID_にんじん: 胡蘿蔔
MIID_バター: 奶油
MIID_はちみつ: 蜂蜜
MIID_ハム: 火腿
MIID_パン: 麵包
MIID_かじったパン: 咬了一口的麵包
MIID_パンのかけら: 小片麵包
MIID_かたいパン: 硬梆梆的麵包
MIID_ほしにく: 肉乾
MIID_なまにく: 生肉
MIID_マナの草: 仙靈草
MIID_小麦粉: 麵粉
MIID_穴あきチーズ: 有洞的乳酪
MIID_青カビチーズ: 青黴乳酪
MIID_スイートクッキー: 香甜餅乾
MIID_聖獣のチーズ: 聖獸乳酪
MIID_ネクタル: 瓊漿玉液
MIID_生命の木の実: 生命樹果
MIID_アンブロシア: 仙饌
MIID_黄金のリンゴ: 黃金蘋果
MIID_ソーマ: 蘇摩
MIID_冥府のざくろ: 冥府石榴
MIID_金貨: 霸者金幣
MIID_金貨袋: 一袋金幣
MIID_錆びた剣_鋼: 生鏽的劍
MIID_錆びた槍_鋼: 生鏽的槍
MIID_錆びた弓_鋼: 生鏽的弓
MIID_錆びた盾_鉄: 生鏽的盾
MIID_錆びた盾_鋼: 生鏽的盾
MIID_錆びた斧_悪魔: 生鏽的斧
MIID_銀貨: 銀幣
MIID_銀貨袋（小）: 一袋銀幣
MIID_銀貨袋（中）: 中袋銀幣
MIID_銀貨袋（大）: 大袋銀幣
MIID_記憶の欠片: 記憶碎片
MIID_ブーツ: 靴子
MIID_セブンソード: 七劍
MIID_イレブンシールド: 十一盾
MIID_コラボの食べ物１: 雞肉沙拉
MIID_コラボの食べ物２: 湯種吐司
MIID_コラボの食べ物３: 美味辣炸雞
MIID_コラボの食べ物４: 千層蛋糕
MIID_コラボの食べ物５: 黑色炸雞
MIID_コラボの食べ物６: 純蜂蜜
MIID_H_不明: 已毀損的新增內容。\n請再次下載。
MIID_H_無し: 無
MIID_H_非公開: ？？？？？？？？？？
MIID_H_つるぎ: 普通的劍
MIID_H_鉄の剣: 容易使用的劍
MIID_H_鋼の剣: 經過鍛鐵，威力較高的劍
MIID_H_銀の剣: 用貴重金屬打造的劍
MIID_H_勇者の剣: 容易使出爆擊的劍
MIID_H_暗黒の剣: 受詛咒的劍
MIID_H_いかづちの剣: 可以發出雷擊的劍
MIID_H_聖なる剣: 擁有退魔力量的劍
MIID_H_王家の剣: 利蓋爾國王贈送\n給索菲亞國王的劍
MIID_H_ファルシオン: 具有滅神力量的劍
MIID_H_流星: 傳說中的劍
MIID_H_黄金の短剣: 施以豪華裝飾的\n護身短劍
MIID_H_ツヴァイハンダー: 為劍鬥士打造的劍
MIID_H_レディソード: 女性使用就會\n威力倍增的劍
MIID_H_メリクルソード: 三樣神器之一\n細長優美的夢幻之劍
MIID_H_宝剣ソフィア: 索菲亞王族代代相傳的寶劍
MIID_H_イルウーン: 只追求破壞的劍
MIID_H_レイピア: 特別強化了突刺的劍\n對騎兵和重騎士特別有效
MIID_H_やり: 普通的槍
MIID_H_鉄の槍: 容易使用的槍
MIID_H_鋼の槍: 經過鍛鐵，威力較高的槍
MIID_H_銀の槍: 用貴重金屬打造的槍
MIID_H_手やり: 可以投擲的槍
MIID_H_聖なる槍: 擁有退魔力量的槍
MIID_H_ナイトキラー: 可以對騎兵發揮\n特別效果的槍
MIID_H_グラディウス: 三樣神器之一\n擁有貫穿岩石的威力
MIID_H_太陽: 傳說中的槍
MIID_H_ドーマの槍: 受到神明加護的槍
MIID_H_皇帝の槍: 利蓋爾皇帝的槍
MIID_H_クリムヒルド: 代價之槍
MIID_H_ロムファイア: 藏了許多技能的長槍\n需要修練才能使用
MIID_H_サウニオン: 特別強化投擲威力的大槍
MIID_H_おの: 普通的斧
MIID_H_薪割り斧: 專門用來砍柴的斧\n不適合用來戰鬥
MIID_H_デビルアクス: 受詛咒的斧
MIID_H_ゆみ: 普通的弓
MIID_H_鉄の弓: 容易使用的弓
MIID_H_鋼の弓: 經過鍛鐵，威力較高的弓
MIID_H_銀の弓: 用貴重金屬打造的弓
MIID_H_聖なる弓: 擁有退魔力量的弓
MIID_H_月光: 傳說中的弓
MIID_H_パルティア: 三樣神器之一\n射出的箭上會有聖火纏繞
MIID_H_ミラの弓: 受到神明加護的弓
MIID_H_長弓: 在遠距離戰鬥方面\n特別強化過的弓
MIID_H_キラーボウ: 提高了殺傷力的弓
MIID_H_シャイニングボウ: 蘊含魔道之力的弓
MIID_H_神剣ファルシオン: 英雄的幻影\n拿著的武器
MIID_H_裏剣ファルシオン: 英雄的幻影\n拿著的武器
MIID_H_ラグネル: 英雄的幻影\n拿著的武器
MIID_H_封印の剣: 英雄的幻影\n拿著的武器
MIID_H_夜刀神・終夜: 英雄的幻影\n拿著的武器
MIID_H_錆びた剣: 生鏽的劍\n保持原樣則毫無用處
MIID_H_錆びた槍: 生鏽的槍\n保持原樣則毫無用處
MIID_H_錆びた弓: 生鏽的弓\n保持原樣則毫無用處
MIID_H_錆びた盾: 生鏽的盾\n保持原樣則毫無用處
MIID_H_錆びた斧: 生鏽的斧\n保持原樣則毫無用處
MIID_H_錆びた指輪: 生鏽的戒指\n保持原樣則毫無用處
MIID_H_毒の剣: 淬毒的劍\n會讓對手中毒
MIID_H_毒の槍: 淬毒的槍\n會讓對手中毒
MIID_H_毒の弓: 淬毒的箭矢\n會讓對手中毒
MIID_H_毒の斧: 淬毒的斧\n會讓對手中毒
MIID_H_爪: 腐爛的爪
MIID_H_毒の爪: 沾滿毒的爪
MIID_H_麻痺爪: 沾滿麻痺毒的爪
MIID_H_牙: 尖銳的牙齒
MIID_H_鎌: 塗滿血的鐮刀
MIID_H_骨剣: 令人毛骨悚然的劍
MIID_H_棍棒: 巨大的棍棒
MIID_H_体当たり: 使用觸手攻擊
MIID_H_触手: 神之手\n會撕裂大地，襲擊對手
MIID_H_火のブレス: 龍族的猛烈火焰\n會使人的防禦無力化
MIID_H_水のブレス: 龍族的巨大水塊\n會使人的防禦無力化
MIID_H_剛爪: 撕裂對手的\n強力爪子
MIID_H_邪竜のブレス: 邪龍吐出的黑暗氣息\n會使人類的防禦無效化
MIID_H_革の盾: 容易使用的盾
MIID_H_鉄の盾: 用鐵打造，威力較高的盾
MIID_H_鋼の盾: 用鍛造過的鋼打造的盾
MIID_H_リオン家の盾: 索菲亞名門貴族\n利昂家的傳家寶之盾
MIID_H_フーガ家の盾: 索菲亞名門貴族\n福格家的傳家寶之盾
MIID_H_銀の盾: 用貴重金屬打造的盾
MIID_H_聖なる盾: 對抗魔物時會發揮力量的盾
MIID_H_魔封じの盾: 可以把魔法攻擊的\n傷害減半的盾
MIID_H_竜の盾: 對所有攻擊都具有\n高度防禦力的盾
MIID_H_皇帝の盾: 利蓋爾皇帝的盾
MIID_H_ドーマの盾: 受到戰神加護的盾
MIID_H_王家の盾: 索菲亞王族代代相傳的\n貴重的盾
MIID_H_賢者の盾: 在泰貝深處\n封印某種東西的盾
MIID_H_聖なる指輪: 擁有治癒之力的戒指
MIID_H_天使の指輪: 接受了幸運祝福的戒指\n幸運會提升２０
MIID_H_速さの指輪: 接受了速度祝福的戒指\n速度和移動力會提升
MIID_H_魔道の指輪: 增強魔道之力的戒指\n黑魔法的射程會增加
MIID_H_祈りの指輪: 瀕死時會發揮力量\n拯救使用者的戒指
MIID_H_奥義書: 讓使用者的魔力\n增幅的戒指
MIID_H_サンゴの指輪: 蘊含自然之力的戒指\n魔防提升４
MIID_H_ミラの指輪: 受到女神加護的戒指\n會封印敵人的爆擊
MIID_H_怨嗟の指輪: 增強怨恨\n增加黑魔法射程的戒指
MIID_H_悪魔の指輪: 受詛咒的戒指\n會讓持有者的身體產生變化
MIID_H_形見の指輪: 貝爾克特母親遺物的戒指
MIID_H_小さな歯車: 增強美拉齒輪力量的\n零件
MIID_H_ミラの歯車(アルム): 蘊藏大地母神美拉的\n力量的齒輪
MIID_H_ミラの歯車(セリカ): 蘊藏大地母神美拉的\n力量的齒輪
MIID_H_ミラの歯車: 蘊藏大地母神美拉的\n力量的齒輪
MIID_H_お土産の人形: 不知道由誰製作\n但會讓小孩子高興的手工娃娃
MIID_H_ガーゴイルの耳: 從石像鬼身上取得的耳朵\n像石頭一樣硬
MIID_H_銀の盆: 貴族的家裡或神殿裡\n使用的盤子
MIID_H_牢獄の鍵: 可以打開監牢的\n鑰匙
MIID_H_透明なひげ: 特殊的龍鬚\n可以透過鬍鬚看到對面
MIID_H_スケルトン油: 從骷髏的頭上採集到\n會讓火燒得很旺的油
MIID_H_竜のうろこ: 非常硬又很大片的鱗片\n擁有神秘的力量
MIID_H_リマ家の腕輪: 身為索菲亞王族的\n利馬一族代代相傳的奢華手環
MIID_H_息子の日記: 為了家人而踏進龍之祠堂的\n少年的日記
MIID_H_木彫りのクマ: 誠心誠意用手工雕刻的\n仿造熊的木雕
MIID_H_木彫りのミラ: 仿造大地母神\n美拉的木雕
MIID_H_木彫りのドーマ: 仿造戰神\n多瑪的木雕
MIID_H_サンゴのかけら: 經常被加工成\n美麗的珠寶飾品
MIID_H_黒真珠: 從特殊貝類身上\n採集到的黑色珍珠
MIID_H_扉の鍵: 可以打開監牢的\n鑰匙
MIID_H_牢屋の鍵: 可以打開監牢的\n鑰匙
MIID_H_赤い三角帽子: 用高級布料製成的\n時髦帽子
MIID_H_怪しい仮面: 讓人毛骨悚然的\n石製面具
MIID_H_ドーマの兜: 受到神明加護的頭盔
MIID_H_ミラの髪飾り: 受到神明加護的髮飾
MIID_H_エール: 在陸地各處\n廣泛流傳的飲料
MIID_H_のみかけのエール: 被人喝過的麥酒
MIID_H_スープ: 用肉燉煮的\n暖呼呼的湯
MIID_H_さめたスープ: 長時間放置後\n冷掉的湯
MIID_H_葡萄酒: 讓葡萄發酵後做出的\n廣泛流傳的飲料
MIID_H_にんにく: 烹調各種料理都不可或缺\n風味濃厚的蔬菜
MIID_H_ラムの葡萄酒: 過去在拉姆村\n釀造的葡萄酒
MIID_H_飲み水: 適合飲用的乾淨的水
MIID_H_ドーマのコケ: 珍稀的青苔\n有回復效果
MIID_H_ニシン: 在瓦倫西亞各地\n常常捕獲到的魚
MIID_H_ダゴンのきりみ: 棲息在索菲亞海裡的\n夢幻巨大生物的肉塊
MIID_H_発酵乳: 牛奶發酵後的製品\n帶點清爽的酸味
MIID_H_薬草のリキュール: 浸泡了草藥的糖漿\n藥效很強
MIID_H_オレンジ: 在陸地各處都能採集的\n有酸味的水果
MIID_H_異国のスパイス: 在遠方國家買賣\n有濃厚風味的辛香料
MIID_H_ソーセージ: 把肉灌進豬腸後\n燻製而成的乾貨
MIID_H_タテウオのひもの: 在索菲亞近海捕獲的\n魚的魚乾
MIID_H_にんじん: 口感鬆脆，帶有甜味\n營養價值很高的蔬菜
MIID_H_バター: 讓家畜的乳汁凝固後\n加入鹽巴的製品
MIID_H_はちみつ: 從蜂窩裡採集的\n甜美蜜汁
MIID_H_ハム: 用鹽巴醃漬肉塊後\n放到徹底熟成的製品
MIID_H_パン: 大塊麵包\n可以多次食用
MIID_H_かじったパン: 有咬痕的麵包
MIID_H_パンのかけら: 一口大小的麵包
MIID_H_かたいパン: 乾燥後變硬\n難以入口的麵包
MIID_H_ほしにく: 切成薄片的肉製乾貨\n適合長期保存，但很硬
MIID_H_なまにく: 新鮮的紅肉
MIID_H_マナの草: 生長在陰暗地方的草\n可以成為藥材
MIID_H_小麦粉: 將乾燥的小麥\n磨成粉的製品
MIID_H_穴あきチーズ: 用羊奶製成，味道樸素\n口感較硬的乳酪
MIID_H_青カビチーズ: 利用青黴菌熟成的乳酪\n特徵是濃烈的臭味和鹽味
MIID_H_スイートクッキー: 小孩子最喜歡的\n甜餅乾
MIID_H_聖獣のチーズ: 非常稀有的乳酪\n據說吃了會增加速度
MIID_H_ネクタル: 神明喝的甜飲料\n據說喝了會增加幸運
MIID_H_生命の木の実: 夢幻的生命之樹的果實\n據說吃了會增加生命力
MIID_H_アンブロシア: 芬芳的神的食物\n據說吃了會增加防守
MIID_H_黄金のリンゴ: 夢幻的智慧之樹的果實\n據說吃了會獲得經驗
MIID_H_ソーマ: 神秘植物的汁液\n據說喝了就會增加力量
MIID_H_冥府のざくろ: 傳說是生長在冥府的石榴\n據說吃了會增加技巧
MIID_H_金貨: 用稀有的金屬製成\n在神的時代使用的硬幣
MIID_H_金貨袋: 裝了一點用稀有金屬\n製成的金幣的袋子
MIID_H_銀貨: 古代的銀幣\n可以當作強化武器的材料
MIID_H_銀貨袋（小）: 裝了一點古代\n銀幣的袋子
MIID_H_銀貨袋（中）: 裝了古代\n銀幣的袋子
MIID_H_銀貨袋（大）: 裝了很多古代\n銀幣的袋子
MIID_H_記憶の欠片: 人的記憶結晶化後\n形成的物品
MIID_H_ブーツ: 使用的單位會\n提升移動力
MIID_H_セブンソード: 在第７回合到１１回合間會\n提升性能的劍
MIID_H_イレブンシールド: 在第７回合到１１回合間會\n提升性能的劍
MIID_H_コラボの食べ物１: 調味簡單又\n好吃的蒸雞肉
MIID_H_コラボの食べ物２: 口感Q彈又\n好吃的麵包
MIID_H_コラボの食べ物３: 辛香料入味又\n好吃的炸雞
MIID_H_コラボの食べ物４: 好吃的蛋糕\n鋪滿味道濃郁的鮮奶油
MIID_H_コラボの食べ物５: 大蒜風味濃郁又\n好吃的炸雞
MIID_H_コラボの食べ物６: 味道濃郁又\n好吃的蜂蜜
MIID_CATEGORY_無し: 無
MIID_CATEGORY_剣: 劍
MIID_CATEGORY_槍: 槍
MIID_CATEGORY_斧: 斧
MIID_CATEGORY_弓: 弓
MIID_CATEGORY_黒魔法: 黑魔法
MIID_CATEGORY_白魔法: 白魔法
MIID_CATEGORY_特殊: 特殊
MIID_CATEGORY_道具: 道具
MIID_TUT_銀貨: 獲得【古老銀幣】。\n\n在瓦倫西亞陸地上廣泛流通的貨幣。\n用於武器的加工。
MIID_TUT_金貨: 獲得【霸者金幣】。\n\n據說是使用太古金屬製造的硬幣。\n蘊藏著不可思議的力量。
MIID_TUT_記憶の欠片: 【記憶碎片】\n\n由人的思念結晶化而成。\n可透過美拉齒輪\n了解內容。
MIID_TUT_小さな歯車: 【小齒輪】\n\n美拉齒輪的零件。\n可以增加１次\n時間回溯的次數。
MIID_TUT_息子の日記: 在破破爛爛的日記裡的最後一頁，\n以非常潦草的字跡寫滿了\n對魯莽出來冒險感到後悔，\n還有向母親謝罪的內容，\n但文章只寫到一半就沒了……
