common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
AVATARCLOTHES0000121	星星圖案服裝
AVATARCLOTHES0000122	提洛爾服裝
AVATARCLOTHES0000123	科學怪人服裝
AVATARCLOTHES0000124	木乃伊服裝
AVATARCLOTHES0000125	烏龜服裝
AVATARCLOTHES0000126	圓點服裝
AVATARCLOTHES0000127	雲朵服裝
AVATARCLOTHES0000128	拉麵碗服裝
AVATARCLOTHES0000129	獨角獸服裝
AVATARCLOTHES0000130	雞服裝
AVATARCLOTHES0000131	狼服裝
AVATARCLOTHES0000132	老虎服裝
AVATARCLOTHES0000133	蛋糕服裝
AVATARCLOTHES0000134	森巴服裝
AVATARCLOTHES0000135	披風服裝
AVATARCLOTHES0000140	排球服裝
AVATARCLOTHES0000141	玉米服裝
AVATARCLOTHES0000142	魷魚服裝
AVATARCLOTHES0000143	孫悟空服裝
AVATARCLOTHES0000144	工地服裝
AVATARCLOTHES0000145	潛水服
AVATARCLOTHES0000146	優雅套裝
AVATARCLOTHES0000147	高級訂製套裝
AVATARHEADGEAR9999999	無穿戴
AVATARHEADGEAR0000000	熊帽子
AVATARHEADGEAR0000001	兔子帽子
AVATARHEADGEAR0000002	大象帽子
AVATARHEADGEAR0000003	青蛙帽子
AVATARHEADGEAR0000004	睡帽
AVATARHEADGEAR0000005	草帽
AVATARHEADGEAR0000006	棒球帽子
AVATARHEADGEAR0000007	美式足球安全帽
AVATARHEADGEAR0000008	忍者頭巾
AVATARHEADGEAR0000009	消防員帽子
AVATARHEADGEAR0000010	全罩式安全帽
AVATARHEADGEAR0000011	廚師帽子
AVATARHEADGEAR0000012	偵探帽子
AVATARHEADGEAR0000013	單車安全帽
AVATARHEADGEAR0000014	太空裝安全帽
AVATARHEADGEAR0000015	學士帽
AVATARHEADGEAR0000016	機長帽子
AVATARHEADGEAR0000017	龐克假髮
AVATARHEADGEAR0000018	草莓帽子
AVATARHEADGEAR0000019	橘子帽子
AVATARHEADGEAR0000020	蘋果帽子
AVATARHEADGEAR0000021	皇冠
AVATARHEADGEAR0000022	頭冠
AVATARHEADGEAR0000023	爆炸頭假髮
AVATARHEADGEAR0000024	學者假髮
AVATARHEADGEAR0000025	和服假髮
AVATARHEADGEAR0000026	白色蝴蝶結
AVATARHEADGEAR0000027	遮陽帽
AVATARHEADGEAR0000028	漁夫帽子
AVATARHEADGEAR0000029	耳機帽子
AVATARHEADGEAR0000030	紳士帽
AVATARHEADGEAR0000031	派對帽子
AVATARHEADGEAR0000032	工地安全帽
AVATARHEADGEAR0000033	水手帽子
AVATARHEADGEAR0000034	探險帽
AVATARHEADGEAR0000035	迷彩安全帽
AVATARHEADGEAR0000036	大蝴蝶結
AVATARHEADGEAR0000037	小丑帽子
AVATARHEADGEAR0000038	蠟燭帽子
AVATARHEADGEAR0000039	維京人帽子
AVATARHEADGEAR0000040	海盜帽子
AVATARHEADGEAR0000041	魔法師帽子
AVATARHEADGEAR0000042	鐵頭盔
AVATARHEADGEAR0000043	音樂家假髮
AVATARHEADGEAR0000044	武士頭盔
AVATARHEADGEAR0000045	大禮帽
AVATARHEADGEAR0000046	白色紳士帽
AVATARHEADGEAR0000047	捲髮假髮
AVATARHEADGEAR0000048	貝雷帽
AVATARHEADGEAR0000049	動畫假髮（黑）
AVATARHEADGEAR0000050	動畫假髮（粉紅）
AVATARHEADGEAR0000051	蛋殼帽子
AVATARHEADGEAR0000052	紙袋帽子
AVATARHEADGEAR0000053	馴鹿帽子
AVATARHEADGEAR0000054	銀色假髮
AVATARHEADGEAR0000055	頑皮假髮
AVATARHEADGEAR0000056	針織帽
AVATARHEADGEAR0000057	乳牛帽子
AVATARHEADGEAR0000058	貓耳朵
AVATARHEADGEAR0000059	角
AVATARHEADGEAR0000060	扶桑花頭飾
AVATARHEADGEAR0000061	螃蟹帽子
AVATARHEADGEAR0000062	愛麗絲假髮
AVATARHEADGEAR0000063	南瓜帽子
AVATARHEADGEAR0000064	特本頭巾
AVATARHEADGEAR0000065	頭部護具
AVATARHEADGEAR0000066	西部牛仔帽子
AVATARHEADGEAR0000067	墨西哥草帽
AVATARHEADGEAR0000068	飛機頭假髮
AVATARHEADGEAR0000069	花冠
AVATARHEADGEAR0000070	三色貓帽子
AVATARHEADGEAR0000071	豎捲假髮
AVATARHEADGEAR0000072	小紅帽頭巾
AVATARHEADGEAR0000073	焊接面具
AVATARHEADGEAR0000074	霜淇淋帽子
AVATARHEADGEAR0000075	名媛假髮
AVATARHEADGEAR0000076	殭屍帽子
AVATARHEADGEAR0000077	外星人帽子
AVATARHEADGEAR0000078	燈籠魚帽子
AVATARHEADGEAR0000079	熊貓帽子
AVATARHEADGEAR0000080	森林帽子
AVATARHEADGEAR0000081	摔角面具
AVATARHEADGEAR0000082	頭鏡
AVATARHEADGEAR0000083	飛行帽
AVATARHEADGEAR0000084	雙丸子頭假髮
AVATARHEADGEAR0000085	龍帽子
AVATARHEADGEAR0000086	護士帽
AVATARHEADGEAR0000087	丸子頭假髮
AVATARHEADGEAR0000088	向日葵帽子
AVATARHEADGEAR0000089	上學帽
AVATARHEADGEAR0000090	聖誕老人帽子
AVATARHEADGEAR0000091	魷魚帽子
AVATARHEADGEAR0000092	天狗假髮
AVATARHEADGEAR0000093	狗帽子
AVATARHEADGEAR0000094	烏帽子
AVATARHEADGEAR0000095	觸角
AVATARHEADGEAR0000096	羽毛帽子
AVATARHEADGEAR0000097	鯊魚帽子
AVATARHEADGEAR0000098	人魚髮飾
AVATARHEADGEAR0000099	科學怪人帽子
AVATARHEADGEAR0000100	獨角獸帽子
AVATARHEADGEAR0000101	小籠包帽子
AVATARHEADGEAR0000102	披薩帽子
AVATARHEADGEAR0000103	紫色帽子
AVATARHEADGEAR0000104	河童頭頂
AVATARHEADGEAR0000105	木乃伊帽子
AVATARHEADGEAR0000106	星星帽子
AVATARHEADGEAR0000107	斗笠
AVATARHEADGEAR0000108	狐狸面具
AVATARHEADGEAR0000109	報童帽
AVATARHEADGEAR0000110	野外帽
AVATARHEADGEAR0000111	喪屍帽子
AVATARHEADGEAR0000112	森巴髮飾
AVATARHEADGEAR0000113	小禮帽
AVATARHEADGEAR0000114	三角頭巾
AVATARHEADGEAR0000115	鬃毛
AVATARHEADGEAR0000116	茶壺帽子
AVATARHEADGEAR0000117	格鬥家假髮
AVATARHEADGEAR0000118	草編花冠
AVATARHEADGEAR0000119	泳帽
AVATARHEADGEAR0000120	秤博士帽子
AVATARHEADGEAR0000121	狼帽子
AVATARHEADGEAR0000122	老虎帽子
AVATARHEADGEAR0000123	雞帽子
AVATARHEADGEAR0000124	胡桃鉗帽子
AVATARHEADGEAR0000125	圖坦卡門帽子
AVATARHEADGEAR0000126	緊箍兒
AVATARACCESSORIES9999999	無穿戴
AVATARACCESSORIES0000000	方形眼鏡
AVATARACCESSORIES0000001	圓形眼鏡
AVATARACCESSORIES0000002	墨鏡
AVATARACCESSORIES0000003	運動墨鏡
AVATARACCESSORIES0000004	機長墨鏡
AVATARACCESSORIES0000005	鼻子鬍子眼鏡
AVATARACCESSORIES0000006	太空護目鏡
AVATARACCESSORIES0000007	星星眼鏡
AVATARACCESSORIES0000008	潛水鏡
AVATARACCESSORIES0000009	滑雪護目鏡
AVATARACCESSORIES0000010	威尼斯面具
AVATARACCESSORIES0000011	圓形墨鏡
AVATARACCESSORIES0000012	弧形墨鏡
AVATARACCESSORIES0000013	愛心眼鏡
AVATARACCESSORIES0000014	鴨子嘴巴
AVATARACCESSORIES0000015	鼻頭絆創帶
AVATARACCESSORIES0000016	口中玫瑰花
AVATARACCESSORIES0000017	單邊眼鏡
AVATARACCESSORIES0000019	小丑鼻子
AVATARACCESSORIES0000020	白色口罩
AVATARACCESSORIES0000021	黑色口罩
AVATARACCESSORIES0000022	貓鬍鬚
AVATARACCESSORIES0000023	大方形眼鏡
AVATARACCESSORIES0000025	曲棍球面具
AVATARACCESSORIES0000026	十字絆創帶
AVATARACCESSORIES0000027	絆創帶
AVATARACCESSORIES0000028	粉紅色臉頰
AVATARACCESSORIES0000029	狗鼻子
AVATARACCESSORIES0000030	眉框眼鏡
AVATARACCESSORIES0000031	怪盜面具
AVATARACCESSORIES0000033	八字眉
AVATARACCESSORIES0000034	粗眉
AVATARACCESSORIES0000035	精緻眉
AVATARACCESSORIES0000036	蝴蝶面具
AVATARACCESSORIES0000037	破爛眼鏡
AVATARACCESSORIES0000039	眼淚妝
AVATARACCESSORIES0000040	半邊面具
AVATARACCESSORIES0000041	樹葉面具
AVATARACCESSORIES0000043	紅色眼鏡
AVATARACCESSORIES0000044	下半框眼鏡
AVATARACCESSORIES0000045	細繩髮帶
AVATARACCESSORIES0000046	銀色眼鏡
AVATARACCESSORIES0000047	火焰墨鏡
AVATARACCESSORIES0000048	武士頭盔面具
AVATARACCESSORIES0000049	八角形眼鏡
AVATARACCESSORIES0000050	科幻眼鏡
AVATARACCESSORIES0000051	天狗面具
common_HakariQuote.msbt
TurningRoulette_01	第1場比賽的輪盤，負責轉動的是……
TurningRoulette_02	第2場比賽的輪盤，負責轉動的是……
TurningRoulette_03	第3場比賽的輪盤，負責轉動的是……
TurningRoulette_04	第4場比賽的輪盤，負責轉動的是……
TurningRoulette_05	第5場比賽的輪盤，負責轉動的是……
TurningRouletteYou	{[0100]}！
RightHolderDecision_01	第1場比賽的考題，負責選擇的是……
RightHolderDecision_02	第2場比賽的考題，負責選擇的是……
RightHolderDecision_03	第3場比賽的考題，負責選擇的是……
RightHolderDecision_04	第4場比賽的考題，負責選擇的是……
RightHolderDecision_05	第5場比賽的考題，負責選擇的是……
RightHolderDecisionYou	{[0100]}！
Party_Handicap_01	請選擇考題的{color[ff1010ff]}難易度{color[000000ff]}！
Party_Handicap_02	猶豫的話，可以先選擇初級班！\n小孩子則可以選擇幼兒班！
Party_Handicap_03	{[0100]}！\n要挑戰看看其他的班級嗎？
Party_Handicap_04	要變更{color[ff1010ff]}難易度{color[000000ff]}嗎？\n我想看一場勢均力敵的比賽！
BattleResult_00	這次的靈活大腦對戰\n獲勝的是……
BattleResult_Win	{[0100]}！
BattleResult_WinYou	你獲勝了！
BattleResult_Lose	對方的幽靈\n獲勝！
BattleResult_Draw	平手！
BattleMenu_5genres_Finish	5個類別全都對戰過了！\n太棒了！
BattleMenu_Perfect_00	對方的幽靈\n已消失！
BattleMenu_Perfect_01	按「{color[ff1010ff]}全部更換{color[000000ff]}」來搜尋幽靈吧！
MainMenu_Support_01	使用了{color[ff1010ff]}簡易輔助{color[000000ff]}，\n所以這裡上鎖了！
MainMenu_Support_02	請在{color[ff1010ff]}設定{color[000000ff]}中\n查看簡易輔助的功能吧♪
MainMenu_Lock_01	這個按鍵……\n真讓人好奇呢。
MainMenu_Lock_02	所有的伸展都獲得{color[ff1010ff]}金獎牌{color[000000ff]}的話，\n可能會發生什麼事……
MainMenu_Unlock_01	恭喜你！
MainMenu_Unlock_02	所有的伸展都獲得金獎牌了……\n{color[ff1010ff]}超級伸展{color[000000ff]}已開放！
MainMenu_Unlock_03	這個困難的伸展\n將直接從{color[ff1010ff]}高級班{color[000000ff]}的考題開始！
MainMenu_Unlock_04	請務必挑戰看看！
MainMenu_BattleCaution_01	請先以{color[ff1010ff]}伸展{color[000000ff]}或是{color[ff1010ff]}測試\n{color[000000ff]}來放鬆大腦吧♪
MainMenu_Recommend_00_01	今天要怎樣放鬆大腦呢？
MainMenu_Recommend_01_01	你的大腦感覺很靈活！\n要挑戰看看{color[ff1010ff]}幽靈對戰{color[000000ff]}嗎？
MainMenu_Recommend_02_01	讓大腦更加靈活的方法，\n還是要從{color[ff1010ff]}伸展{color[000000ff]}開始練習吧。
MainMenu_Recommend_03_01	要挑戰看看{color[ff1010ff]}超級伸展{color[000000ff]}嗎？
MainMenu_Recommend_04_01	要用{color[ff1010ff]}測試\n{color[000000ff]}來試試大腦的本事嗎？
MainMenu_Recommend_05_01	先{color[ff1010ff]}伸展{color[000000ff]}！\n接著再進行{color[ff1010ff]}幽靈對戰{color[000000ff]}，怎麼樣？
Stretch_Results1_02	好的，結果是……！？
Stretch_Results2_Record_01	哇！哇！哇！\n刷新{color[ff1010ff]}最佳紀錄{color[000000ff]}了！
Stretch_Results2_Record_02	你的大腦超級靈活！\n恭喜你！
Stretch_Results2_ScoreUp_01	哇！\n跟上一次比，提升了{color[ff1010ff]}{[0101]}{color[000000ff]}！
Stretch_Results2_NearRecord99_01	伸展得不錯！！\n離最佳紀錄，只差一點點！
Stretch_Results2_NearRecord96_01	真可惜！！\n差一點就能刷新最佳紀錄了！
Stretch_Results3_First_01	第一次嘗試這個伸展，\n感覺怎麼樣？
Stretch_Results3_First_MAX_01	……！！！！！！！！\n第一次就有這樣的紀錄，真厲害！！
Stretch_Results4_08_01	竟！竟！竟然！\n你的大腦靈活度超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_08_02	就是為了這一刻！\n讓我送你特別的獎牌吧！
Stretch_Results4_08_03	鏘鏘！\n特製！{color[ff1010ff]}白金秤獎牌{color[000000ff]}！
Stretch_Results4_07_01	哎呀呀呀！\n你的大腦靈活度超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_07_02	太棒了！\n那麼，作為紀念……
Stretch_Results4_07_03	我要送你{color[ff1010ff]}金秤獎牌（★３）{color[000000ff]}！
Stretch_Results4_06_01	哎呀！\n你的大腦靈活度超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_06_02	太棒了！\n那麼，作為紀念……
Stretch_Results4_06_03	我要送你{color[ff1010ff]}金秤獎牌（★２）{color[000000ff]}！
Stretch_Results4_05_01	啊！\n你的大腦靈活度超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_05_02	太棒了！\n那麼，作為紀念……
Stretch_Results4_05_03	我要送你{color[ff1010ff]}金秤獎牌（★１）{color[000000ff]}！
Stretch_Results4_04_01	你的大腦靈活度\n超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_04_02	那麼，作為紀念……
Stretch_Results4_04_03	我要送你{color[ff1010ff]}銀秤獎牌（★３）{color[000000ff]}！
Stretch_Results4_03_01	你的大腦靈活度\n超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_03_02	那麼，作為紀念……
Stretch_Results4_03_03	我要送你{color[ff1010ff]}銀秤獎牌（★２）{color[000000ff]}！
Stretch_Results4_02_01	你的大腦靈活度\n超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_02_02	那麼，作為紀念……
Stretch_Results4_02_03	我要送你{color[ff1010ff]}銀秤獎牌（★１）{color[000000ff]}！
Stretch_Results4_01_01	你的大腦靈活度\n超過{color[ff1010ff]}{[0101]}{color[000000ff]}了！
Stretch_Results4_01_02	那麼，作為紀念……
Stretch_Results4_01_03	我要送你{color[ff1010ff]}銅秤獎牌{color[000000ff]}！
Stretch_Results5_Medal_01	接下來也很期待你的表現！
Stretch_Results5_Down_01	讓大腦喘口氣，\n再繼續伸展吧！
Stretch_Results5_10times_01	如果大腦已經放鬆了，\n要不要挑戰看看{color[ff1010ff]}測試{color[000000ff]}呢？
Stretch_Results5_20times_01	你已經充分按摩放鬆大腦了吧。
Stretch_Results5_20times_02	現在就來挑戰看看{color[ff1010ff]}測試{color[000000ff]}吧？
Stretch_Results5_08_01	這個伸展是靈活度的極致！\n接下來也請好好放鬆大腦！
Stretch_Results5_07_01	不斷突破自我的態度……\n真是太厲害了！！
Stretch_Results5_06_01	即使獲得了金獎牌，\n也還是繼續按摩放鬆大腦……真是太酷了！
Stretch_Results5_05_01	目標是最佳紀錄！\n在那前方有更多的獎牌等著你……！？
Stretch_Results5_04_01	目標是靈活度{color[ff1010ff]}400{color[000000ff]}！\n超過的話，就會獲得金獎牌……！？
Stretch_Results5_03_01	目標是靈活度{color[ff1010ff]}250{color[000000ff]}！\n超過的話，就能獲得下一個獎牌……！？
Stretch_Results5_02_01	接下來的目標是靈活度{color[ff1010ff]}150{color[000000ff]}！\n超過的話，你就能獨當一面了！
Stretch_Results5_01_01	接下來的目標是靈活度{color[ff1010ff]}100{color[000000ff]}！\n獎牌的顏色可能會改變……！？
Stretch_Results5_00_01	首先的目標是靈活度{color[ff1010ff]}50{color[000000ff]}！\n我已經準備好紀念的獎牌了。
Event_Get_PtMedal_01	第一次獲得{color[ff1010ff]}白金秤獎牌{color[000000ff]}！\n恭喜你！
Event_Get_PtMedal_02	保持這個狀態，再去挑戰看看\n其他考題的紀錄吧！？
Event_Comp_Medals_01	……！{color[ff1010ff]}全部的伸展\n{color[000000ff]}都獲得獎牌了！
Event_Comp_Medals_02	博士我眼泛淚光了！\n真是太棒了！恭喜你！
Event_Comp_GldMedals_01	然後！\n{color[ff1010ff]}金秤獎牌（★１）{color[000000ff]}全部收集完成了！
Event_Comp_GldMedals_02	恭喜你！！\n實在太棒了，我甘拜下風……
Event_Comp_GldMedals_03	接下來也要朝向更高的目標，\n一鼓作氣地邁進吧！
Event_Compl_Gld2Medals_01	成功了呢！\n太棒了！！
Event_Compl_Gld2Medals_02	嗯？不知道我在說什麼？\n你也真是的……
Event_Compl_Gld2Medals_03	{color[ff1010ff]}金秤獎牌（★２）{color[000000ff]}全部收集完成了！\n恭喜你！！
Event_Compl_Gld2Medals_04	出類拔萃的靈活大腦！\n佩服、佩服！真是太厲害了！
Event_Comp_Gld3Medals_01	然後竟然！
Event_Comp_Gld3Medals_02	{color[ff1010ff]}金秤獎牌（★３）{color[000000ff]}全部收集完成了！\n恭喜你！！
Event_Comp_Gld3Medals_03	厲害……太厲害了……\n真的是很厲害的紀錄喔！
Event_Comp_Gld3Medals_04	你！果然就是！\n靈活大腦中的靈活大腦啊！
Event_Comp_PtMedals_01	呃……雖然有點唐突，\n但我這邊有個重要的通知……
Event_Comp_PtMedals_02	{color[ff1010ff]}白金秤獎牌{color[000000ff]}全部收集完成了！\n恭喜你！！！！！
Event_Comp_PtMedals_03	多麼了不起的努力啊……！\n沒想到真的會有這種事發生……
Event_Comp_PtMedals_04	對於學生出乎意料的紀錄，\n我感概萬千……！謝謝！
Event_Open_SpStretch_01	好的，是時候該打開\n通往下一個挑戰的大門了……
Event_Open_SpStretch_02	我有事情要告訴你！\n請按「結束」。
Event_CompP_GldMedals_01	這次的獎牌\n是值得好好紀念的獎牌……！
Event_CompP_GldMedals_02	超級伸展的{color[ff1010ff]}金秤獎牌（★１）{color[000000ff]}\n全部收集完成了！
Event_CompP_GldMedals_03	你努力不懈的態度……\n我真心感到佩服！
Event_CompP_Gld2Medals_01	然後然後！\n恭喜你！
Event_CompP_Gld2Medals_02	超級伸展的{color[ff1010ff]}金秤獎牌（★２）\n{color[000000ff]}全部收集完成了！
Event_CompP_Gld2Medals_03	喲！我們學校第一的\n靈活大腦！
Event_CompP_Gld2Medals_04	……哎呀，\n那其實是我！
Event_CompP_Gld2Medals_05	雖然我想這麼說，\n但，也是時候該世代交替了……
Event_CompP_Gld2Medals_06	{[0100]}，\n你有興趣當校長嗎？
Event_CompP_Gld3Medals_01	……該怎麼說呢，\n我常常不經意地思索。
Event_CompP_Gld3Medals_02	你究竟要刷新多少次紀錄呢？
Event_CompP_Gld3Medals_03	超級伸展的{color[ff1010ff]}金秤獎牌（★３）\n{color[000000ff]}全部收集完成了！
Event_CompP_Gld3Medals_04	恭喜你！\n終於來到這一步了！！
Event_CompP_Gld3Medals_05	既然如此，\n能走多遠就走多遠吧！！
Event_CompP_PtMedals_01	然後！\n這一刻終於到來了……
Event_CompP_PtMedals_02	我正在見證\n非常不得了的瞬間！
Event_CompP_PtMedals_03	超級伸展的{color[ff1010ff]}白金秤獎牌\n{color[000000ff]}全部收集完成了！！！
Event_CompP_PtMedals_04	作為校長，\n沒有比這更開心的事情了……
Event_CompP_PtMedals_05	讓我發自內心跟你說聲恭喜！\n{[0100]}，謝謝你！！！！！
Test_Results01_01_01	辛苦你了！
Test_Results02_01_01	第一次做測試，\n感覺如何？
Test_Results02_01_02	測試的結果\n會用{color[ff1010ff]}靈活度{color[000000ff]}來表示。
Test_Results02_01_03	靈活度的{color[ff1010ff]}數字越大\n{color[000000ff]}代表你越厲害！
Test_Results02_01_04	順帶一提……
Test_Results02_01_05	我的靈活度大約是{color[ff1010ff]}3300{color[000000ff]}。
Test_Results02_01_06	沒有進行伸展的\n一般人大約是{color[ff1010ff]}1500{color[000000ff]}……
Test_Results02_01_06_02	使用簡易輔助的人，\n大約有{color[ff1010ff]}250{color[000000ff]}……
Test_Results02_01_07	所以我還蠻厲害的喔！\n嘿嘿！
Test_Results02_01_08	……好的！\n那我們來看看測試的結果吧！
Test_Results02_02_01	那我們馬上來看看測試的結果吧！
Test_Results03_01_01	嗯！沒能刷新最佳紀錄！
Test_Results03_01_02	不過，這種事也是會有的啦！\n換個方式想吧！
Test_Results03_02_01	這、這！就像是鑽石的原石一樣，\n還有很多需要按摩放鬆的空間！
Test_Results03_03_01	嗯！這靈活度\n值得去按摩放鬆！
Test_Results03_04_01	呵！\n這是適度得到放鬆的靈活度！
Test_Results03_05_01	喔！\n不錯的靈活度！
Test_Results03_06_01	呵呵！\n這靈活度非常不錯！
Test_Results03_07_01	喔喔！太棒了！\n跟我的靈活度不相上下！
Test_Results03_07_02	{[0100]}……\n很不錯嘛。
Test_Results03_08_01	竟……竟然！\n難以置信！！
Test_Results03_08_02	沒想到你的大腦\n竟然會比我還靈活……！
Test_Results03_08_03	接下來請讓我\n一個人靜一靜……
Test_Results03_09_01	哇啊！\n難以置信！！
Test_Results03_09_02	我的靈活大腦\n完全被你超越了……！
Test_Results04_01_01	那麼，\n我要發表你的{color[ff1010ff]}頭腦段位{color[000000ff]}了！
Test_Results05_01_01	恭喜你！
Test_Results05_01_02	這就是你現在的\n{color[ff1010ff]}頭腦段位{color[000000ff]}！
Test_Results05_01_03	接下來才要正式開始！\n一起朝更高的目標邁進吧！
Test_Results05_02_01	這就是你這次的\n{color[ff1010ff]}頭腦段位{color[000000ff]}！
Test_Results05_03_01	你做到了！！\n更新為新的{color[ff1010ff]}頭腦段位{color[000000ff]}了！
Test_Results05_03_02	你未來的潛力\n是無限大的！
Test_Results05_04_01	竟……竟……竟然！\n是{color[ff1010ff]}靈活大腦王{color[000000ff]}！！！！！
Test_Results05_04_02	這是靈活大腦的終極證明……\n是傳説中的頭腦段位……！
Test_Results05_04_03	學生之中竟然有{color[ff1010ff]}靈活大腦王{color[000000ff]}存在……\n我真的感到非常驕傲！！
Test_Results05_05_01	你已經獲得了靈活大腦王的段位。
