MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名字
MID_PROFILE_出身地_ホンジュラス: 洪都拉斯
MID_PROFILE_出身地_ホンコン: 香港
MID_PROFILE_出身地_ハンガリー: 匈牙利
MID_PROFILE_出身地_アイスランド: 冰岛
MID_PROFILE_出身地_インド: 印度
MID_PROFILE_出身地_インドネシア: 印尼
MID_PROFILE_出身地_アイルランド: 爱尔兰
MID_PROFILE_出身地_マン島: 马恩岛
MID_PROFILE_出身地_イタリア: 意大利
MID_PROFILE_出身地_ジャマイカ: 牙买加
MID_PROFILE_出身地_日本: 日本
MID_PROFILE_出身地_ジャージー: 泽西岛
MID_PROFILE_出身地_ヨルダン: 约旦
MID_PROFILE_出身地_クウェート: 科威特
MID_PROFILE_出身地_ラトビア: 拉脱维亚
MID_PROFILE_出身地_レソト: 莱索托
MID_PROFILE_出身地_リヒテンシュタイン: 列支敦士登
MID_PROFILE_出身地_リトアニア: 立陶宛
MID_PROFILE_出身地_ルクセンブルク: 卢森堡
MID_PROFILE_出身地_マカオ: 澳门
MID_PROFILE_出身地_マケドニア: 马其顿
MID_PROFILE_出身地_マレーシア: 马来西亚
MID_PROFILE_出身地_マリ: 马里
MID_PROFILE_出身地_マルタ: 马耳他
MID_PROFILE_出身地_マルティニーク: 法属马提尼克
MID_PROFILE_出身地_モーリタニア: 毛里塔尼亚
MID_PROFILE_出身地_メキシコ: 墨西哥
MID_PROFILE_出身地_モナコ: 摩纳哥
MID_PROFILE_出身地_モンテネグロ: 黑山
MID_PROFILE_出身地_モントセラト: 蒙特塞拉特
MID_PROFILE_出身地_モザンビーク: 莫桑比克
MID_PROFILE_出身地_ナミビア: 纳米比亚
MID_PROFILE_出身地_オランダ: 荷兰
MID_PROFILE_出身地_オランダ領アンティル: 荷属安的列斯
MID_PROFILE_出身地_ニュージーランド: 新西兰
MID_PROFILE_出身地_ニカラグア: 尼加拉瓜
MID_PROFILE_出身地_ニジェール: 尼日尔
MID_PROFILE_出身地_ノルウェー: 挪威
MID_PROFILE_出身地_オマーン: 阿曼
MID_PROFILE_出身地_その他: 其他
MID_PROFILE_出身地_パナマ: 巴拿马
MID_PROFILE_出身地_パラグアイ: 巴拉圭
MID_PROFILE_出身地_ペルー: 秘鲁
MID_PROFILE_出身地_フィリピン: 菲律宾
MID_PROFILE_出身地_ポーランド: 波兰
MID_PROFILE_出身地_ポルトガル: 葡萄牙
MID_PROFILE_出身地_カタール: 卡塔尔
MID_PROFILE_出身地_ルーマニア: 罗马尼亚
MID_PROFILE_出身地_ロシア: 俄罗斯
MID_PROFILE_出身地_エルサルバドル: 萨尔瓦多
MID_PROFILE_出身地_サンマリノ: 圣马力诺
MID_PROFILE_出身地_サウジアラビア: 沙特阿拉伯
MID_PROFILE_出身地_セルビア: 塞尔维亚
MID_PROFILE_出身地_シンガポール: 新加坡
MID_PROFILE_出身地_スロバキア: 斯洛伐克
MID_PROFILE_出身地_スロベニア: 斯洛文尼亚
MID_PROFILE_出身地_ソマリア: 索马里
MID_PROFILE_出身地_南アフリカ: 南非
MID_PROFILE_出身地_韓国: 韩国
MID_PROFILE_出身地_スペイン: 西班牙
MID_PROFILE_出身地_セントキッツ・ネイビス: 圣基茨和尼维斯
MID_PROFILE_出身地_セントルシア: 圣卢西亚
MID_PROFILE_出身地_セントビンセント・グレナディーン: 圣文森特和格林纳丁斯
MID_PROFILE_出身地_スーダン: 苏丹
MID_PROFILE_出身地_スリナム: 苏里南
MID_PROFILE_出身地_スワジランド: 斯威士兰
MID_PROFILE_出身地_スウェーデン: 瑞典
MID_PROFILE_出身地_スイス: 瑞士
MID_PROFILE_出身地_シリア: 叙利亚
MID_PROFILE_出身地_台湾: 台湾
MID_PROFILE_出身地_タイ: 泰国
MID_PROFILE_出身地_トリニダード・トバゴ: 千里达及托巴哥
MID_PROFILE_出身地_トルコ: 土耳其
MID_PROFILE_出身地_タークス・カイコス諸島: 特克斯和凯科斯群岛
MID_PROFILE_出身地_アラブ首長国連邦: 阿拉伯联合酋长国
MID_PROFILE_出身地_イギリス: 英国
MID_PROFILE_出身地_アメリカ: 美国
MID_PROFILE_出身地_ウルグアイ: 乌拉圭
MID_PROFILE_出身地_米領バージン諸島: 美属维京群岛
MID_PROFILE_出身地_バチカン: 梵蒂冈
MID_PROFILE_出身地_ベネズエラ: 委内瑞拉
MID_PROFILE_出身地_ザンビア: 赞比亚
MID_PROFILE_出身地_ジンバブエ: 津巴布韦
MID_PROFILE_出身地_アカネイア王国: 阿卡奈亚王国
MID_PROFILE_出身地_アグストリア: 阿古斯特里亚诸侯联合
MID_PROFILE_出身地_アリティア王国: 阿利提亚王国
MID_PROFILE_出身地_暗夜王国: 暗夜王国
MID_PROFILE_出身地_イーリス聖王国: 伊里斯圣王国
MID_PROFILE_出身地_イザーク王国: 伊扎克王国
MID_PROFILE_出身地_イズモ公国: 出云公国
MID_PROFILE_出身地_イリア: 伊利亚
MID_PROFILE_出身地_ヴァルム帝国: 瓦卢姆帝国
MID_PROFILE_出身地_ヴァロール島: 瓦洛尔岛
MID_PROFILE_出身地_ヴェルダン王国: 凡尔登王国
MID_PROFILE_出身地_エトルリア王国: 伊特鲁里亚王国
MID_PROFILE_出身地_オレルアン王国: 奥尔安王国
MID_PROFILE_出身地_カシミア: 卡西米亚
MID_PROFILE_出身地_カダイン: 卡达因
MID_PROFILE_出身地_ガリア王国: 加利亚王国
MID_PROFILE_出身地_ガルダ: 加尔达
MID_PROFILE_出身地_カルチノ共和国: 卡尔奇诺共和国
MID_PROFILE_出身地_キルヴァス王国: 奇尔沃斯王国
MID_PROFILE_出身地_グラ王国: 格拉王国
MID_PROFILE_出身地_グラド帝国: 格拉多帝国
MID_PROFILE_出身地_グランベル王国: 格兰贝鲁王国
MID_PROFILE_出身地_クリミア王国: 克里米亚王国
MID_PROFILE_出身地_グルニア王国: 哥尔尼亚王国
MID_PROFILE_出身地_ゴルドア王国: 格鲁多亚王国
MID_PROFILE_出身地_サカ: 塞迦
MID_PROFILE_出身地_ジャハナ王国: 贾哈纳王国
MID_PROFILE_出身地_シュヴァリエ公国: 舒瓦利埃公国
MID_PROFILE_出身地_シレジア王国: 西里西亚王国
MID_PROFILE_出身地_ソフィア王国: 索菲亚王国
MID_PROFILE_出身地_タリス王国: 塔利斯王国
MID_PROFILE_出身地_ディール: 迪尔
MID_PROFILE_出身地_デイン王国: 戴因王国
MID_PROFILE_出身地_テーベ: 泰贝
MID_PROFILE_出身地_トラキア王国: 色雷斯王国
MID_PROFILE_出身地_ドルーア帝国: 多鲁亚帝国
MID_PROFILE_出身地_ナバタ: 纳巴塔
MID_PROFILE_出身地_ノーヴァ島: 诺瓦岛
MID_PROFILE_出身地_白夜王国: 白夜王国
MID_PROFILE_出身地_フウマ公国: 风魔公国
MID_PROFILE_出身地_フェニキス王国: 菲尼奇斯王国
MID_PROFILE_出身地_フェリア連合王国: 菲利亚联合王国
MID_PROFILE_出身地_フレリア王国: 弗莱利亚王国
MID_PROFILE_出身地_ベグニオン帝国: 贝格尼昂帝国
MID_PROFILE_出身地_ペラティ王国: 佩拉提王国
MID_PROFILE_出身地_ベルン王国: 伯尔尼王国
MID_PROFILE_出身地_ペレジア王国: 佩莱吉亚王国
MID_PROFILE_出身地_マケドニア王国: 马其顿王国
MID_PROFILE_出身地_ミューズ公国: 缪斯公国
MID_PROFILE_出身地_ラムの村: 拉姆村
MID_PROFILE_出身地_リキア同盟: 吕基亚同盟
MID_PROFILE_出身地_リゲル帝国: 利盖尔帝国
MID_PROFILE_出身地_ルネス王国: 路奈斯王国
MID_PROFILE_出身地_レフカンディ: 勒夫坎第
MID_PROFILE_出身地_レンスター王国: 伦斯特王国
MID_PROFILE_出身地_ロストン聖教国: 罗斯通圣教国
MID_PROFILE_出身地_透魔王国: 透魔王国
