MESS_ARCHIVE_Item


Message Name: Message


MIID_不明: 不明的道具
MIID_天使の指輪: 天使戒指
MIID_速さの指輪: 速度戒指
MIID_魔道の指輪: 魔道戒指
MIID_祈りの指輪: 祈祷戒指
MIID_奥義書: 魔法书
MIID_サンゴの指輪: 珊瑚戒指
MIID_ミラの指輪: 米拉戒指
MIID_怨嗟の指輪: 怨念戒指
MIID_悪魔の指輪: 恶魔戒指
MIID_形見の指輪: 遗物戒指
MIID_小さな歯車: 小齿轮
MIID_ミラの歯車(アルム): 米拉齿轮
MIID_ミラの歯車(セリカ): 米拉齿轮
MIID_ミラの歯車: 米拉齿轮
MIID_お土産の人形: 纪念品人偶
MIID_ガーゴイルの耳: 石像鬼的耳朵
MIID_銀の盆: 银盘
MIID_牢獄の鍵: 监牢钥匙
MIID_透明なひげ: 透明须
MIID_スケルトン油: 骷髅油
MIID_竜のうろこ: 龙的鳞片
MIID_リマ家の腕輪: 利马一族的手环
MIID_息子の日記: 儿子的日记
MIID_木彫りのクマ: 木雕熊
MIID_木彫りのミラ: 木雕米拉
MIID_木彫りのドーマ: 木雕多玛
MIID_サンゴのかけら: 珊瑚碎片
MIID_黒真珠: 黑珍珠
MIID_扉の鍵: 门的钥匙
MIID_牢屋の鍵: 牢房的钥匙
MIID_赤い三角帽子: 红色三角帽
MIID_怪しい仮面: 可疑的面具
MIID_ドーマの兜: 多玛的头盔
MIID_ミラの髪飾り: 米拉的发饰
MIID_エール: 麦酒
MIID_のみかけのエール: 喝剩的麦酒
MIID_スープ: 汤
MIID_さめたスープ: 冷掉的汤
MIID_葡萄酒: 葡萄酒
MIID_にんにく: 大蒜
MIID_ラムの葡萄酒: 拉姆的葡萄酒
MIID_飲み水: 饮用水
MIID_ドーマのコケ: 多玛的青苔
MIID_ニシン: 鲱鱼
MIID_ダゴンのきりみ: 大衮鱼片
MIID_発酵乳: 发酵乳
MIID_薬草のリキュール: 药草糖浆
MIID_オレンジ: 柳橙
MIID_異国のスパイス: 异国香料
MIID_ソーセージ: 香肠
MIID_タテウオのひもの: 带鱼干
MIID_にんじん: 胡萝卜
MIID_バター: 奶油
MIID_はちみつ: 蜂蜜
MIID_ハム: 火腿
MIID_パン: 面包
MIID_かじったパン: 咬了一口的面包
MIID_パンのかけら: 小片面包
MIID_かたいパン: 硬梆梆的面包
MIID_ほしにく: 肉干
MIID_なまにく: 生肉
MIID_マナの草: 仙灵草
MIID_小麦粉: 面粉
MIID_穴あきチーズ: 有洞的乳酪
MIID_青カビチーズ: 青霉乳酪
MIID_スイートクッキー: 香甜饼干
MIID_聖獣のチーズ: 圣兽乳酪
MIID_ネクタル: 琼浆玉液
MIID_生命の木の実: 生命树果
MIID_アンブロシア: 仙馔
MIID_黄金のリンゴ: 黄金苹果
MIID_ソーマ: 苏摩
MIID_冥府のざくろ: 冥府石榴
MIID_金貨: 霸者金币
MIID_金貨袋: 一袋金币
MIID_錆びた剣_鋼: 生锈的剑
MIID_錆びた槍_鋼: 生锈的枪
MIID_錆びた弓_鋼: 生锈的弓
MIID_錆びた盾_鉄: 生锈的盾
MIID_錆びた盾_鋼: 生锈的盾
MIID_錆びた斧_悪魔: 生锈的斧
MIID_銀貨: 银币
MIID_銀貨袋（小）: 一袋银币
MIID_銀貨袋（中）: 中袋银币
MIID_銀貨袋（大）: 大袋银币
MIID_記憶の欠片: 记忆碎片
MIID_ブーツ: 靴子
MIID_セブンソード: 七剑
MIID_イレブンシールド: 十一盾
MIID_コラボの食べ物１: 鸡肉沙拉
MIID_コラボの食べ物２: 汤种吐司
MIID_コラボの食べ物３: 美味辣炸鸡
MIID_コラボの食べ物４: 千层蛋糕
MIID_コラボの食べ物５: 黑色炸鸡
MIID_コラボの食べ物６: 纯蜂蜜
MIID_H_不明: 已毁损的追加内容。\n请再次下载。
MIID_H_無し: 无
MIID_H_非公開: ？？？？？？？？？？
MIID_H_つるぎ: 普通的剑
MIID_H_鉄の剣: 容易使用的剑
MIID_H_鋼の剣: 经过锻铁，威力较强的剑
MIID_H_銀の剣: 用贵重金属打造的剑
MIID_H_勇者の剣: 容易使出暴击的剑
MIID_H_暗黒の剣: 受诅咒的剑
MIID_H_いかづちの剣: 可以发出雷击的剑
MIID_H_聖なる剣: 拥有退魔力量的剑
MIID_H_王家の剣: 利盖尔国王赠送\n给索菲亚国王的剑
MIID_H_ファルシオン: 具有灭神力量的剑
MIID_H_流星: 传说中的剑
MIID_H_黄金の短剣: 施以豪华装饰的\n护身短剑
MIID_H_ツヴァイハンダー: 为剑斗士打造的剑
MIID_H_レディソード: 女性使用就会\n威力倍增的剑
MIID_H_メリクルソード: 三种神器之一\n细长优美的梦幻之剑
MIID_H_宝剣ソフィア: 索菲亚王族代代相传的宝剑
MIID_H_イルウーン: 只追求破坏的剑
MIID_H_レイピア: 特别强化了突刺的剑\n对骑兵和重骑士特别有效
MIID_H_やり: 普通的枪
MIID_H_鉄の槍: 容易使用的枪
MIID_H_鋼の槍: 经过锻铁，威力较强的枪
MIID_H_銀の槍: 用贵重金属打造的枪
MIID_H_手やり: 可以投掷的枪
MIID_H_聖なる槍: 拥有退魔力量的枪
MIID_H_ナイトキラー: 可以对骑兵发挥\n特别效果的枪
MIID_H_グラディウス: 三种神器之一\n拥有贯穿岩石的威力
MIID_H_太陽: 传说中的枪
MIID_H_ドーマの槍: 受到神明加护的枪
MIID_H_皇帝の槍: 利盖尔皇帝的枪
MIID_H_クリムヒルド: 代价之枪
MIID_H_ロムファイア: 藏有许多技能的长枪\n需要修炼才能使用
MIID_H_サウニオン: 特别强化投掷威力的大枪
MIID_H_おの: 普通的斧
MIID_H_薪割り斧: 专门用来砍柴的斧\n不适合用来战斗
MIID_H_デビルアクス: 受诅咒的斧
MIID_H_ゆみ: 普通的弓
MIID_H_鉄の弓: 容易使用的弓
MIID_H_鋼の弓: 经过锻铁，威力较强的弓
MIID_H_銀の弓: 用贵重金属打造的弓
MIID_H_聖なる弓: 拥有退魔力量的弓
MIID_H_月光: 传说中的弓
MIID_H_パルティア: 三种神器之一\n射出的箭上会有圣火缠绕
MIID_H_ミラの弓: 受到神明加护的弓
MIID_H_長弓: 在远距离战斗方面\n特别强化过的弓
MIID_H_キラーボウ: 提高了杀伤力的弓
MIID_H_シャイニングボウ: 蕴含魔道之力的弓
MIID_H_神剣ファルシオン: 英雄的幻影\n拿着的武器
MIID_H_裏剣ファルシオン: 英雄的幻影\n拿着的武器
MIID_H_ラグネル: 英雄的幻影\n拿着的武器
MIID_H_封印の剣: 英雄的幻影\n拿着的武器
MIID_H_夜刀神・終夜: 英雄的幻影\n拿着的武器
MIID_H_錆びた剣: 生锈的剑\n保持原样则毫无用处
MIID_H_錆びた槍: 生锈的枪\n保持原样则毫无用处
MIID_H_錆びた弓: 生锈的弓\n保持原样则毫无用处
MIID_H_錆びた盾: 生锈的盾\n保持原样则毫无用处
MIID_H_錆びた斧: 生锈的斧\n保持原样则毫无用处
MIID_H_錆びた指輪: 生锈的戒指\n保持原样则毫无用处
MIID_H_毒の剣: 淬毒的剑\n会让对手中毒
MIID_H_毒の槍: 淬毒的枪\n会让对手中毒
MIID_H_毒の弓: 淬毒的箭矢\n会让对手中毒
MIID_H_毒の斧: 淬毒的斧\n会让对手中毒
MIID_H_爪: 腐烂的爪
MIID_H_毒の爪: 沾满毒的爪
MIID_H_麻痺爪: 沾满麻痹毒的爪
MIID_H_牙: 尖锐的牙齿
MIID_H_鎌: 涂满血的镰刀
MIID_H_骨剣: 令人毛骨悚然的剑
MIID_H_棍棒: 巨大的棍棒
MIID_H_体当たり: 使用触手攻击
MIID_H_触手: 神之手\n会撕裂大地，袭击对手
MIID_H_火のブレス: 龙族的猛烈火焰\n会使人的防御无力化
MIID_H_水のブレス: 龙族的巨大水块\n会使人的防御无力化
MIID_H_剛爪: 撕裂对手的\n强力爪子
MIID_H_邪竜のブレス: 邪龙吐出的黑暗气息\n会使人类的防御无效化
MIID_H_革の盾: 容易使用的盾
MIID_H_鉄の盾: 用铁打造，威力较强的盾
MIID_H_鋼の盾: 用锻造过的钢打造的盾
MIID_H_リオン家の盾: 索菲亚名门贵族\n利昂家的传家宝之盾
MIID_H_フーガ家の盾: 索菲亚名门贵族\n福格家的传家宝之盾
MIID_H_銀の盾: 用贵重金属打造的盾
MIID_H_聖なる盾: 对抗魔物时会发挥力量的盾
MIID_H_魔封じの盾: 可以把魔法攻击的\n伤害减半的盾
MIID_H_竜の盾: 对所有攻击都具有\n高度防御力的盾
MIID_H_皇帝の盾: 利盖尔皇帝的盾
MIID_H_ドーマの盾: 受到战神加护的盾
MIID_H_王家の盾: 索菲亚王族代代相传的\n贵重的盾
MIID_H_賢者の盾: 在泰贝深处\n封印某种东西的盾
MIID_H_聖なる指輪: 拥有治愈之力的戒指
MIID_H_天使の指輪: 接受了幸运祝福的戒指\n幸运会提升２０
MIID_H_速さの指輪: 接受了速度祝福的戒指\n速度和移动力会提升
MIID_H_魔道の指輪: 增强魔道之力的戒指\n黑魔法的射程会增加
MIID_H_祈りの指輪: 濒死时会发挥力量\n拯救使用者的戒指
MIID_H_奥義書: 让使用者的魔力\n增幅的戒指
MIID_H_サンゴの指輪: 蕴含自然之力的戒指\n魔防提升４
MIID_H_ミラの指輪: 受到女神加护的戒指\n会封印敌人的暴击
MIID_H_怨嗟の指輪: 增强怨恨\n增加黑魔法射程的戒指
MIID_H_悪魔の指輪: 受诅咒的戒指\n会让持有者的身体产生变化
MIID_H_形見の指輪: 贝尔克特母亲遗物的戒指
MIID_H_小さな歯車: 增强米拉齿轮力量的\n零件
MIID_H_ミラの歯車(アルム): 蕴藏大地母神米拉\n力量的齿轮
MIID_H_ミラの歯車(セリカ): 蕴藏大地母神米拉\n力量的齿轮
MIID_H_ミラの歯車: 蕴藏大地母神米拉\n力量的齿轮
MIID_H_お土産の人形: 不知道由谁制作\n但会让小孩子高兴的手工娃娃
MIID_H_ガーゴイルの耳: 从石像鬼身上获取的耳朵\n像石头一样硬
MIID_H_銀の盆: 贵族的家里或神殿里\n使用的盘子
MIID_H_牢獄の鍵: 可以打开监牢的\n钥匙
MIID_H_透明なひげ: 特殊的龙须\n可以透过胡须看到对面
MIID_H_スケルトン油: 从骷髅头上采集到的\n会让火烧得很旺的油
MIID_H_竜のうろこ: 非常硬又很大片的鳞片\n拥有神秘的力量
MIID_H_リマ家の腕輪: 身为索菲亚王族的\n利马一族代代相传的奢华手环
MIID_H_息子の日記: 为了家人而踏进龙之祠堂的\n少年的日记
MIID_H_木彫りのクマ: 诚心诚意用手工雕刻的\n仿造熊的木雕
MIID_H_木彫りのミラ: 仿造大地母神\n米拉的木雕
MIID_H_木彫りのドーマ: 仿造战神\n多玛的木雕
MIID_H_サンゴのかけら: 经常被加工成\n美丽的珠宝饰品
MIID_H_黒真珠: 从特殊贝类身上\n采集到的黑色珍珠
MIID_H_扉の鍵: 可以打开监牢的\n钥匙
MIID_H_牢屋の鍵: 可以打开监牢的\n钥匙
MIID_H_赤い三角帽子: 用高级布料制成的\n时髦帽子
MIID_H_怪しい仮面: 让人毛骨悚然的\n石制面具
MIID_H_ドーマの兜: 受到神明加护的头盔
MIID_H_ミラの髪飾り: 受到神明加护的发饰
MIID_H_エール: 在大陆各处\n广泛流传的饮料
MIID_H_のみかけのエール: 被人喝过的麦酒
MIID_H_スープ: 用肉炖煮的\n暖呼呼的汤
MIID_H_さめたスープ: 长时间放置后\n冷掉的汤
MIID_H_葡萄酒: 将葡萄发酵后做出的\n广泛流传的饮料
MIID_H_にんにく: 烹调各种料理都不可或缺的\n风味浓厚的蔬菜
MIID_H_ラムの葡萄酒: 过去在拉姆村\n酿造的葡萄酒
MIID_H_飲み水: 适合饮用的干净的水
MIID_H_ドーマのコケ: 珍稀的青苔\n有恢复效果
MIID_H_ニシン: 在瓦伦西亚各地\n经常捕获到的鱼
MIID_H_ダゴンのきりみ: 栖息在索菲亚海里的\n梦幻巨大生物的肉块
MIID_H_発酵乳: 牛奶发酵后的制品\n带点儿清爽的酸味
MIID_H_薬草のリキュール: 浸泡了草药的糖浆\n药效很强
MIID_H_オレンジ: 在大陆各处都能采集的\n有酸味的水果
MIID_H_異国のスパイス: 在远方国家买卖\n有浓厚风味的辛香料
MIID_H_ソーセージ: 把肉灌进猪肠后\n熏制而成的干货
MIID_H_タテウオのひもの: 在索菲亚近海捕获的\n鱼的鱼干
MIID_H_にんじん: 口感松脆，带有甜味\n营养价值很高的蔬菜
MIID_H_バター: 将家畜的乳汁凝固后\n加入盐巴的制品
MIID_H_はちみつ: 从蜂窝里采集的\n甜美蜜汁
MIID_H_ハム: 用盐巴腌渍肉块后\n放到彻底熟成的制品
MIID_H_パン: 大块面包\n可以多次食用
MIID_H_かじったパン: 有咬痕的面包
MIID_H_パンのかけら: 一口大小的面包
MIID_H_かたいパン: 干燥后变硬\n难以入口的面包
MIID_H_ほしにく: 切成薄片的肉制干货\n适合长期保存，但很硬
MIID_H_なまにく: 新鲜的红肉
MIID_H_マナの草: 生长在阴暗地方的草\n可以作为药材
MIID_H_小麦粉: 将干燥的小麦\n磨成粉的制品
MIID_H_穴あきチーズ: 用羊奶制成，味道朴素\n口感较硬的乳酪
MIID_H_青カビチーズ: 利用青霉菌熟成的乳酪\n特征是浓烈的臭味和盐味
MIID_H_スイートクッキー: 小孩子最喜欢的\n甜饼干
MIID_H_聖獣のチーズ: 非常稀有的乳酪\n据说吃了会提高速度
MIID_H_ネクタル: 神明喝的甜饮料\n据说喝了会增加幸运
MIID_H_生命の木の実: 梦幻的生命之树的果实\n据说吃了会增加生命力
MIID_H_アンブロシア: 芬芳的神的食物\n据说吃了会增强防守
MIID_H_黄金のリンゴ: 梦幻的智慧之树的果实\n据说吃了会获得经验
MIID_H_ソーマ: 神秘植物的汁液\n据说喝了会增加力量
MIID_H_冥府のざくろ: 传说是生长在冥府的石榴\n据说吃了会增加技巧
MIID_H_金貨: 用稀有的金属制成\n在神的时代使用的硬币
MIID_H_金貨袋: 装了一点儿用稀有金属\n制成的金币的袋子
MIID_H_銀貨: 古代的银币\n可以当作强化武器的材料
MIID_H_銀貨袋（小）: 装了一点儿古代\n银币的袋子
MIID_H_銀貨袋（中）: 装了古代\n银币的袋子
MIID_H_銀貨袋（大）: 装了很多古代\n银币的袋子
MIID_H_記憶の欠片: 人的记忆结晶化后\n形成的物品
MIID_H_ブーツ: 使用的单位会\n提升移动力
MIID_H_セブンソード: 在第７回合到１１回合间会\n提升性能的剑
MIID_H_イレブンシールド: 在第７回合到１１回合间会\n提升性能的剑
MIID_H_コラボの食べ物１: 调味简单又\n好吃的蒸鸡肉
MIID_H_コラボの食べ物２: 口感Q弹又\n好吃的面包
MIID_H_コラボの食べ物３: 辛香料入味又\n好吃的炸鸡
MIID_H_コラボの食べ物４: 好吃的蛋糕\n铺满味道浓郁的鲜奶油
MIID_H_コラボの食べ物５: 大蒜风味浓郁又\n好吃的炸鸡
MIID_H_コラボの食べ物６: 味道浓郁又\n好吃的蜂蜜
MIID_CATEGORY_無し: 无
MIID_CATEGORY_剣: 剑
MIID_CATEGORY_槍: 枪
MIID_CATEGORY_斧: 斧
MIID_CATEGORY_弓: 弓
MIID_CATEGORY_黒魔法: 黑魔法
MIID_CATEGORY_白魔法: 白魔法
MIID_CATEGORY_特殊: 特殊
MIID_CATEGORY_道具: 道具
MIID_TUT_銀貨: 获得【古老银币】。\n\n在瓦伦西亚大陆上广泛流通的货币。\n用于武器的加工。
MIID_TUT_金貨: 获得【霸者金币】。\n\n据说是使用太古金属制造的硬币。\n蕴藏着不可思议的力量。
MIID_TUT_記憶の欠片: 【记忆碎片】\n\n由人的思念结晶化而成。\n可通过米拉齿轮\n了解内容。
MIID_TUT_小さな歯車: 【小齿轮】\n\n米拉齿轮的零件。\n可以增加１次\n时间回溯的次数。
MIID_TUT_息子の日記: 在破破烂烂的日记里的最后一页，\n以非常潦草的字迹写满了\n对鲁莽出来冒险感到后悔，\n以及向母亲谢罪的内容，\n但文章只写到一半就没了……
