MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_SUB_H_王家の秘宝: 接受了学者风骨的男人的委托，\n替他去解放军据点角落，\n从埋葬王族的区域\n拿回王族的宝物，\n好让他研究。
MID_GMAP_SUB_輝きのデリカ: 光辉的美食
MID_GMAP_SUB_H_輝きのデリカ: 学者风骨的男人提出条件，\n只要准备“多玛的青苔”、\n“发酵乳”和“柳橙”，\n他就会做出仙馔。
MID_GMAP_SUB_修道女の落とし物: 修女的遗失物
MID_GMAP_SUB_H_修道女の落とし物: 接受了狼狈的修女的委托，\n找回她弄掉到水沟里面，\n不知被冲到米拉神殿何处的“银盘”。
MID_GMAP_SUB_ソフィア王に静寂を: 还索菲亚国王宁静
MID_GMAP_SUB_H_ソフィア王に静寂を: 接受阴森的隐士的委托，\n为了历代索菲亚国王的安眠，\n帮忙讨伐出现在解放军据点中的\n魔物。
MID_GMAP_SUB_盗賊をこらしめて: 惩戒盗贼
MID_GMAP_SUB_H_盗賊をこらしめて: 接受发怒的女性的委托，\n帮忙打倒２０个附近的盗贼，\n以兹报复。
MID_GMAP_SUB_死者にやすらぎを: 还给死者安宁
MID_GMAP_SUB_H_死者にやすらぎを: 接受郁郁寡欢的隐士的委托，\n帮忙打倒２０只出现在\n诺瓦墓地里的僵尸，\n让他们回归安宁的睡眠。
MID_GMAP_SUB_石の耳: 石耳朵
MID_GMAP_SUB_H_石の耳: 接受药物学者的委托，\n帮忙收集３个“石像鬼的耳朵”，\n当作他的研究材料，\n并学会了“石像鬼的耳朵”的\n采集方法。
MID_GMAP_SUB_家宝をとりもどせ　ドゼー編: 夺回传家宝　多哲篇
MID_GMAP_SUB_H_家宝をとりもどせ　ドゼー編: 接受了自称利昂家当家的贵族的委托，\n帮忙夺回被多哲没收的\n传家宝之盾。
MID_GMAP_SUB_家宝をとりもどせ　ギース編: 夺回传家宝　吉斯篇
MID_GMAP_SUB_H_家宝をとりもどせ　ギース編: 接受了自称福格家当家的\n贵族的委托，\n帮忙从吉斯那里夺回\n被盗贼偷走的传家宝之盾。
MID_GMAP_SUB_連れ去られた少女: 遭人掳走的少女
MID_GMAP_SUB_H_連れ去られた少女: 接受村里大叔的委托，\n帮忙救出他被石像鬼\n掳到森林祠堂里的\n女儿。
MID_GMAP_SUB_囚人の行方: 囚犯的去向
MID_GMAP_SUB_H_囚人の行方: 接受商人之妻的委托，\n帮忙到森林祠堂搜索，\n找出她失踪的丈夫。
MID_GMAP_SUB_息子を探して: 帮忙找儿子
MID_GMAP_SUB_H_息子を探して: 接受疲惫的妇人的委托，\n帮忙寻找她去龙之祠堂的\n复活水井取水的儿子。
MID_GMAP_SUB_父親の思い出: 父亲的回忆
MID_GMAP_SUB_H_父親の思い出: 从旅行青年口中，听说他\n失踪的父亲的信息。\n听说是不论何时都戴着红色三角帽，\n打扮时髦的人……
MID_GMAP_SUB_カワイイものほしいな: 想要可爱的东西
MID_GMAP_SUB_H_カワイイものほしいな: 从森林祠堂救出的女孩子，\n想要一个可爱的东西。\n找一个可爱的东西给她，\n她说不定会很高兴。
MID_GMAP_SUB_伝説の秘薬: 传说中的秘药
MID_GMAP_SUB_H_伝説の秘薬: 走投无路的妇人为了\n治疗女儿的病，\n想要“药草糖浆”。
MID_GMAP_SUB_奪われた仕事道具: 遭人夺走的生财工具
MID_GMAP_SUB_H_奪われた仕事道具: 纯朴的樵夫被盗贼\n抢走了用来工作的斧头，\n正一筹莫展。
MID_GMAP_SUB_奪われた偶像: 遭人抢走的雕像
MID_GMAP_SUB_H_奪われた偶像: 纯朴的樵夫欣喜地跑来炫耀\n自己亲手制作的多玛雕像，\n据他所言，只要带着它，\n状态就会比平常好，然而……
MID_GMAP_SUB_出られなくなった男: 出不来的男人
MID_GMAP_SUB_H_出られなくなった男: 在祠堂深处虚弱的男人，\n要求给他一些食物，\n但好像非肉类不可。
MID_GMAP_SUB_天上の釣り糸: 天上的钓线
MID_GMAP_SUB_H_天上の釣り糸: 想要大衮鱼片而\n拜托技术高超的渔夫，\n对方则说只要给他透明细线，\n他就能钓起大衮。
MID_GMAP_SUB_遙かなる遠き大地: 遥远的大地
MID_GMAP_SUB_H_遙かなる遠き大地: 接受了异国商人的委托，\n护卫他抵达位于这块大陆东边、\n前往阿卡奈亚大陆的航路。
